study_id,experiment,participant,age_in_years,sex,species,success
hanus2011comparing,1,alex,5,m,chimpanzee,no
hanus2011comparing,1,alexandra,6,f,chimpanzee,no
hanus2011comparing,1,annett,6,f,chimpanzee,no
hanus2011comparing,1,bebe,27,f,gorilla,no
hanus2011comparing,1,corry,29,f,chimpanzee,no
hanus2011comparing,1,dorien,25,f,chimpanzee,no
hanus2011comparing,1,fifi,12,f,chimpanzee,no
hanus2011comparing,1,fraukje,31,f,chimpanzee,no
hanus2011comparing,1,frodo,13,m,chimpanzee,no
hanus2011comparing,1,gertrudia,12,f,chimpanzee,no
hanus2011comparing,1,gorgo,25,m,gorilla,no
hanus2011comparing,1,jahaga,13,f,chimpanzee,no
hanus2011comparing,1,lome,4,m,chimpanzee,no
hanus2011comparing,1,natascha,27,f,chimpanzee,no
hanus2011comparing,1,n’diki,29,f,gorilla,no
hanus2011comparing,1,patrick,10,m,chimpanzee,no
hanus2011comparing,1,pia,7,f,chimpanzee,no
hanus2011comparing,1,riet,29,f,chimpanzee,no
hanus2011comparing,1,robert,30,m,chimpanzee,no
hanus2011comparing,1,ruby_b'windi,9,f,gorilla,no
hanus2011comparing,1,sandra,14,f,chimpanzee,no
hanus2011comparing,1,swela,11,f,chimpanzee,no
hanus2011comparing,1,ulla,29,f,chimpanzee,no
hanus2011comparing,1,viringika,11,f,gorilla,no
