study_id,experiment,participant,age_in_years,sex,species,drinker,spit,success
hanus2011comparing,3,alex,5,m,chimpanzee,1.0,no,no
hanus2011comparing,3,alexandra,6,f,chimpanzee,1.0,no,no
hanus2011comparing,3,annett,6,f,chimpanzee,1.0,no,no
hanus2011comparing,3,corry,29,f,chimpanzee,1.0,no,no
hanus2011comparing,3,dorien,25,f,chimpanzee,1.0,no,no
hanus2011comparing,3,fifi,12,f,chimpanzee,1.0,yes,no
hanus2011comparing,3,fraukje,31,f,chimpanzee,1.0,no,no
hanus2011comparing,3,frodo,13,m,chimpanzee,1.0,no,no
hanus2011comparing,3,gertrudia,12,f,chimpanzee,1.0,no,no
hanus2011comparing,3,jahaga,13,f,chimpanzee,1.0,yes,no
hanus2011comparing,3,lobo,3,m,chimpanzee,2.0,no,no
hanus2011comparing,3,lome,4,m,chimpanzee,1.0,yes,yes
hanus2011comparing,3,natascha,27,f,chimpanzee,1.0,no,no
hanus2011comparing,3,patrick,10,m,chimpanzee,1.0,no,no
hanus2011comparing,3,pia,7,f,chimpanzee,1.0,no,no
hanus2011comparing,3,riet,29,f,chimpanzee,1.0,no,no
hanus2011comparing,3,robert,30,m,chimpanzee,1.0,no,no
hanus2011comparing,3,sandra,14,f,chimpanzee,1.0,no,no
hanus2011comparing,3,swela,11,f,chimpanzee,1.0,no,no
hanus2011comparing,3,tai,5,f,chimpanzee,2.0,yes,yes
hanus2011comparing,3,ulla,29,f,chimpanzee,1.0,yes,no
hanus2011comparing,3,unyoro,10,m,chimpanzee,2.0,no,no
