"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"family","family species groups of individual participants - 1= orangutan/ 2= gorilla/3=bonobo/chimpanzee"
"training","amount of training trials"
"order"," presentation of the conditions"
"strat","conditions of the study- place= reward does not move with the cover  /feature= reward moves with the cover  "
"hidden_location_1","location of the food at the beginning  of the trial "
"hidden_location_2","location of the food at the end of the trial "
"correct_place ","response based on place strategy "
"correct_feature","response  based on feature strategy "
"response ","participant choice "
"correct","whether the participant obtains the reward or not"
"switch","whether the cover was switched - no switch/ switch "
"choice","whether the participants choice strategy  was   - error= choice was not based in place or feature strategy /place=  participant choice was based on place strategy/feature = choice was based on feature strategy  /both=choice was based on place and feature estrategy "
"fing","finger in the whole strategy-   keep / exclude"
"exclude","excluded – keep/exclude"
