"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee/gorilla/orangutan "
"genus","genus of individuals participating in the study – pan/gorilla/pongo"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","variable referring to whether they experienced the tubes or the lines condition"
"first_condition","variable referring to the order in which they experienced the conditions within the study"
"alignment","variable referring to on which side of the table the cups were aligned – left / right/ middle "
"correct_cup","variable referring to the cup which contained the rewards"
"correct_cup_position","variable referring to the position of the correct cup based on the relations with which the ape could connect the correct cup on the participant row with the cup baited on the experimenter row - analogy_only / gravity_proximity_analogy / proximity_analogy "
"choice","variable referring to the apes choice -  left / right/ middle "
"chosen_cup_position","variable referring to the position of the chosen cup based on the relations with which the ape could connect the correct cup on the participant row with the cup baited on the experimenter row - analogy_only / gravity_proximity_analogy / proximity_analogy "
"correct","variable referring to whether the participant chose the correct cup (1) or not (0)"
