study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,size,first,no_of_cups,what_cups,baited_cup,choice,success,risk_choice,comments
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,1,visible,.05,small_first,3,3_4_5,4,4,yes,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,2,visible,.05,big_first,4,2_3_4_5,5,5,yes,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,3,visible,.05,big_first,3,2_3_4,2,2,yes,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,4,invisible,.05,small_first,4,2_3_4_5,2,5,no,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,5,visible,.05,big_first,2,4_5,5,5,yes,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,6,invisible,.05,big_first,4,2_3_4_5,4,5,no,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,7,invisible,.05,big_first,3,2_3_4,3,4,no,risk,
haun2011great,2008,08,06,joey,25,25,m,bonobo,1,8,invisible,.05,big_first,1,3,3,3,yes,risk,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,9,visible,.05,small_first,4,2_3_4_5,3,3,yes,risk,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,10,invisible,.05,small_first,2,2_3,2,0,no,safe,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,11,visible,.05,big_first,1,2,2,2,yes,risk,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,12,invisible,.05,big_first,2,4_5,4,0,no,safe,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,13,visible,.05,small_first,1,4,4,4,yes,risk,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,14,invisible,.05,small_first,1,5,5,5,yes,risk,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,15,visible,.05,small_first,2,2_3,3,3,yes,risk,
haun2011great,2008,08,07,joey,25,25,m,bonobo,1,16,invisible,.05,small_first,3,3_4_5,5,5,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,1,invisible,.05,small_first,2,2_3,2,2,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,2,visible,.05,small_first,2,2_3,3,3,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,3,invisible,.05,big_first,2,4_5,4,5,no,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,4,visible,.05,big_first,3,2_3_4,2,2,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,5,visible,.05,small_first,1,4,4,4,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,6,invisible,.05,big_first,1,3,3,3,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,7,visible,.05,big_first,1,2,2,2,yes,risk,
haun2011great,2008,08,09,joey,25,25,m,bonobo,2,8,invisible,.05,small_first,1,5,5,5,yes,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,9,visible,.05,small_first,4,2_3_4_5,3,3,yes,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,10,visible,.05,big_first,2,4_5,5,5,yes,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,11,invisible,.05,small_first,3,3_4_5,5,5,yes,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,12,visible,.05,big_first,4,2_3_4_5,5,5,yes,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,13,invisible,.05,big_first,4,2_3_4_5,4,5,no,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,14,invisible,.05,big_first,3,2_3_4,3,4,no,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,15,invisible,.05,small_first,4,2_3_4_5,2,3,no,risk,
haun2011great,2008,08,10,joey,25,25,m,bonobo,2,16,visible,.05,small_first,3,3_4_5,4,4,yes,risk,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,1,invisible,2,big_first,4,2_3_4_5,4,5,no,risk,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,2,visible,2,small_first,4,2_3_4_5,3,3,yes,risk,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,3,visible,2,small_first,2,2_3,3,3,yes,risk,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,4,invisible,2,small_first,3,3_4_5,5,0,no,safe,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,5,visible,2,big_first,3,2_3_4,2,0,no,safe,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,6,invisible,2,big_first,2,4_5,4,4,yes,risk,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,7,invisible,2,small_first,4,2_3_4_5,2,0,no,safe,
haun2011great,2008,08,16,joey,25,25,m,bonobo,3,8,invisible,2,big_first,3,2_3_4,3,4,no,risk,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,9,visible,2,big_first,2,4_5,5,5,yes,risk,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,10,visible,2,small_first,3,3_4_5,4,4,yes,risk,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,11,visible,2,small_first,1,4,4,4,yes,risk,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,12,invisible,2,small_first,1,5,5,0,no,safe,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,13,visible,2,big_first,1,2,2,2,yes,risk,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,14,invisible,2,big_first,1,3,3,0,no,safe,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,15,invisible,2,small_first,2,2_3,2,0,no,safe,
haun2011great,2008,08,17,joey,25,25,m,bonobo,3,16,visible,2,big_first,4,2_3_4_5,5,5,yes,risk,
haun2011great,2008,08,23,joey,25,25,m,bonobo,4,1,visible,2,big_first,4,2_3_4_5,5,5,yes,risk,
haun2011great,2008,08,23,joey,25,25,m,bonobo,4,2,visible,2,small_first,2,2_3,3,3,yes,risk,
haun2011great,2008,08,23,joey,25,25,m,bonobo,4,3,visible,2,big_first,3,2_3_4,2,2,yes,risk,
haun2011great,2008,08,23,joey,25,25,m,bonobo,4,4,invisible,2,big_first,1,3,3,0,no,safe,
haun2011great,2008,08,23,joey,25,25,m,bonobo,4,5,invisible,2,small_first,4,2_3_4_5,2,0,no,safe,
haun2011great,2008,08,23,joey,25,25,m,bonobo,4,6,invisible,2,big_first,3,2_3_4,3,0,no,safe,
