study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,chimp_dyad_stooge_focal,session,trial,trial_drop,trial_do_code,trial_do_code_explained,species_subgroup,test_session_date_sequence,session_day_stooge,session_day_focal_participant,condition,condition_type,tool_occlusion,help_option,stooges_first_reach,stooge_reaches_for_when_nail remove,position_focal_reach_stooge,focal_participant_gives,reach_stooge_when_focal_participant_push,latency_sec,session_abort,drop_criterion
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,1,0,,,a,17,29,17,weak_cont,no_need,yes_weak,,reach_for_rel,reach_for_rel,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,2,1,1.0,stooge_did_not_reach,a,17,29,17,weak_cont,no_need,yes_weak,,no_reach,no_reach,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,3,1,1.0,stooge_did_not_reach,a,17,29,17,weak_cont,no_need,yes_weak,,no_reach,no_reach,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,4,1,1.0,stooge_did_not_reach,a,17,29,17,weak_cont,no_need,yes_weak,,no_reach,no_reach,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,1,1,1.0,stooge_did_not_reach,a,17,29,17,weak_test,need,yes_weak,,no_reach,no_reach,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,2,0,,,a,17,29,17,weak_test,need,yes_weak,paternalism,reach_for_irr,reach_for_irr,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,3,1,2.0,stooge_reached_but_subject_did_not_approach_panel,a,17,29,17,weak_test,need,yes_weak,,reach_for_rel,,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,4,1,2.0,stooge_reached_but_subject_did_not_approach_panel,a,17,29,17,weak_test,need,yes_weak,,reach_for_irr,,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,5,1,1.0,stooge_did_not_reach,a,17,29,17,weak_test,need,yes_weak,,no_reach,no_reach,not_front_panel,no_response,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,6,1,10.0,session_aborted,a,17,29,17,weak_test,need,yes_weak,,,,,,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,7,1,10.0,session_aborted,a,17,29,17,weak_test,need,yes_weak,,,,,,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,8,1,10.0,session_aborted,a,17,29,17,weak_test,need,yes_weak,,,,,,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,1,1,10.0,session_aborted,a,17,29,17,weak_cont,no_need,yes_weak,,,,,,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,2,1,10.0,session_aborted,a,17,29,17,weak_cont,no_need,yes_weak,,,,,,,,yes,1.0
hepach2020help,2014,05,08,fraukje,42.0,f,focal_participant,lome,16,m,stooge,chimpanzee,fraukje_lome,lome_fraukje,1,3,1,10.0,session_aborted,a,17,29,17,weak_cont,no_need,yes_weak,,,,,,,,yes,1.0
