study_id,experiment,experiment_name,participant,sex,role,participant_2,sex_2,role_2,species,species_subgroup,dyad,session,trial,ses_nr_overall,ses_nr_species,order_on_day,condition,who_moves_food,total_nr_trial,food_type,food_time,stooge_present,stooge_reaches,open_door,touches_rope,pull_attempt,pull
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,1.0,1.0,1.0,1.0,social,experimenter,7.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,2.0,1.0,1.0,1.0,social,experimenter,7.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,3.0,1.0,1.0,1.0,social,experimenter,7.0,banana,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,4.0,1.0,1.0,1.0,social,experimenter,7.0,grape,7.0,1.0,1.0,1.0,1.0,1.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,5.0,1.0,1.0,1.0,social,experimenter,7.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,6.0,1.0,1.0,1.0,social,experimenter,7.0,grape,15.0,1.0,1.0,1.0,1.0,1.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,7.0,1.0,1.0,1.0,social,experimenter,7.0,banana,7.0,,,,,,
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,1.0,2.0,2.0,1.0,social,chimp,4.0,grape,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,2.0,2.0,2.0,1.0,social,chimp,4.0,banana,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,3.0,2.0,2.0,1.0,social,chimp,4.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,3,1.0,4.0,4.0,1.0,social,experimenter,4.0,banana,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,3,2.0,4.0,4.0,1.0,social,experimenter,4.0,grape,7.0,1.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,3,3.0,4.0,4.0,1.0,social,experimenter,4.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,3,4.0,4.0,4.0,1.0,social,experimenter,4.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,4,1.0,5.0,5.0,1.0,social,chimp,4.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,4,2.0,5.0,5.0,1.0,social,chimp,4.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,4,3.0,5.0,5.0,1.0,social,chimp,4.0,grape,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,4,4.0,5.0,5.0,1.0,social,chimp,4.0,banana,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,5,1.0,8.0,8.0,1.0,social,experimenter,4.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,5,2.0,8.0,8.0,1.0,social,experimenter,4.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,5,3.0,8.0,8.0,1.0,social,experimenter,4.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,5,4.0,8.0,8.0,1.0,social,experimenter,4.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,6,1.0,9.0,9.0,1.0,social,chimp,4.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,6,2.0,9.0,9.0,1.0,social,chimp,4.0,grape,15.0,1.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,6,3.0,9.0,9.0,1.0,social,chimp,4.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,6,4.0,9.0,9.0,1.0,social,chimp,4.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,7,1.0,21.0,17.0,1.0,non-social,chimp,5.0,grape,15.0,0.0,0.0,1.0,1.0,1.0,1.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,7,2.0,21.0,17.0,1.0,non-social,chimp,5.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,7,3.0,21.0,17.0,1.0,non-social,chimp,5.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,7,4.0,21.0,17.0,1.0,non-social,chimp,5.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,7,5.0,21.0,17.0,1.0,non-social,chimp,5.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,8,1.0,24.0,18.0,1.0,non-social,experimenter,4.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,8,2.0,24.0,18.0,1.0,non-social,experimenter,4.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,8,3.0,24.0,18.0,1.0,non-social,experimenter,4.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,8,4.0,24.0,18.0,1.0,non-social,experimenter,4.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,9,1.0,27.0,19.0,1.0,non-social,chimp,4.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,9,2.0,27.0,19.0,1.0,non-social,chimp,4.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,9,3.0,27.0,19.0,1.0,non-social,chimp,4.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
