study_id,experiment,experiment_name,participant,sex,role,participant_2,sex_2,role_2,species,species_subgroup,dyad,session,trial,ses_nr_overall,ses_nr_species,order_on_day,condition,who_moves_food,total_nr_trial,food_type,food_time,stooge_present,open_door,touches_rope,pull_attempt,pull,ses_nr_stooge
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,1.0,22.0,1.0,1.0,non-social,experimenter,6.0,pellet,15.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,2.0,22.0,1.0,1.0,non-social,experimenter,6.0,grape,15.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,3.0,22.0,1.0,1.0,non-social,experimenter,6.0,pellet,7.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,4.0,22.0,1.0,1.0,non-social,experimenter,6.0,grape,7.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,5.0,22.0,1.0,1.0,non-social,experimenter,6.0,pellet,15.0,0.0,0.0,0.0,0.0,0.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,1,6.0,22.0,1.0,1.0,non-social,experimenter,6.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,1.0,23.0,2.0,1.0,non-social,chimp,6.0,grape,7.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,2.0,23.0,2.0,1.0,non-social,chimp,6.0,pellet,7.0,0.0,0.0,0.0,0.0,0.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,3.0,23.0,2.0,1.0,non-social,chimp,6.0,grape,15.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,4.0,23.0,2.0,1.0,non-social,chimp,6.0,pellet,15.0,0.0,0.0,0.0,0.0,0.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,5.0,23.0,2.0,1.0,non-social,chimp,6.0,grape,7.0,0.0,1.0,1.0,1.0,1.0,
hepach2021chimpanzees,2,cpd2_all,alex,m,focal_participant,jahaga,f,stooge,chimpanzee,b,alex_jahaga,2,6.0,23.0,2.0,1.0,non-social,chimp,6.0,pellet,7.0,0.0,1.0,1.0,1.0,1.0,
