"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee "
"session","set of trials per participant – 1 is for the session for each participant increased by 1 with every session "
"trial","presentation of the experiment to the participants - usually numerical "
"species_subgroup ","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"ses_nr_overall","overall number of the session – 1 refers to the every first day of the experiments increased by 1 with every day "
"ses_nr_species","number of the session for the species increased by 1 with every session "
"order_on_day","order of the participant within a day – e.g. 5 means 4 participants were tested on the day before the participant "
"condition","social / non-social "
"who_moves_food","whether the food was delivered to the booth by experimenter or chimp (participant) "
"total_nr_trial","refers to the total number of trials presented per session "
"food_type","type of food presented to the participant with an apparatus that delivered food if a rope was pulled "
"food_time","time in seconds the food was placed in front of the participant (but not accessible) – 7 /15 "
"stooge_present","whether the stooge(conspecific) is present inside the booth (1) or the booth is empty(0) "
"open_door","whether the door between two booths was open(1) or closed (0) "
"touches_rope","whether the participant reached through the whole and touched the rope "
"pull_attempt","whether the participant made an attempt to pull the rope "
"pull","whether the participant pulled the rope "
"ses_nr_stooge","overall number of sessions with stooge- increasing by 1 with every session"
