study_id,experiment,experiment_name,participant,sex,species,session,trial,condition,food_time,stooge_present,time,time_next,trial_time,event,attempted_help,overall_session,food
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,90.0,96.0,0.0,first_light_on,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,96.0,104.0,6.0,remove_occluder,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,104.0,124.0,14.0,food_in_front_but_not_accessible,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,124.0,153.0,34.0,second_light_on,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,153.0,168.0,63.0,light_sequence_initiates_again,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,168.0,190.0,78.0,screw_removed,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,190.0,209.0,100.0,food_pulled,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,209.0,220.0,119.0,food_removed_and_light_turned,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,220.0,246.0,130.0,occluder_placed,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,1.0,non-social_experimenter,15.0,0.0,246.0,278.0,156.0,post_trial_pupil_measured,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,278.0,284.0,188.0,first_light_on,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,284.0,292.0,194.0,remove_occluder,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,292.0,314.0,202.0,food_in_front_but_not_accessible,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,314.0,343.0,224.0,second_light_on,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,343.0,357.0,253.0,light_sequence_initiates_again,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,357.0,378.0,267.0,screw_removed,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,378.0,398.0,288.0,food_pulled,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,398.0,408.0,308.0,food_removed_and_light_turned,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,408.0,430.0,318.0,occluder_placed,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,2.0,non-social_experimenter,15.0,0.0,430.0,461.0,340.0,post_trial_pupil_measured,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,461.0,467.0,371.0,first_light_on,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,467.0,473.0,377.0,remove_occluder,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,473.0,483.0,383.0,food_in_front_but_not_accessible,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,483.0,509.0,393.0,second_light_on,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,509.0,524.0,419.0,light_sequence_initiates_again,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,524.0,554.0,434.0,screw_removed,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,554.0,575.0,464.0,food_pulled,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,575.0,584.0,485.0,food_removed_and_light_turned,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,584.0,607.0,494.0,occluder_placed,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,3.0,non-social_experimenter,7.0,0.0,607.0,637.0,517.0,post_trial_pupil_measured,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,637.0,643.0,547.0,first_light_on,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,643.0,647.0,553.0,remove_occluder,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,647.0,659.0,557.0,food_in_front_but_not_accessible,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,659.0,689.0,569.0,second_light_on,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,689.0,706.0,599.0,light_sequence_initiates_again,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,706.0,745.0,616.0,screw_removed,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,745.0,762.0,655.0,food_pulled,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,762.0,769.0,672.0,food_removed_and_light_turned,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,769.0,792.0,679.0,occluder_placed,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,4.0,non-social_experimenter,7.0,0.0,792.0,815.0,702.0,post_trial_pupil_measured,0.0,1.0,grape
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,815.0,821.0,725.0,first_light_on,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,821.0,827.0,731.0,remove_occluder,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,827.0,843.0,737.0,food_in_front_but_not_accessible,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,843.0,873.0,753.0,second_light_on,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,873.0,889.0,783.0,light_sequence_initiates_again,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,889.0,929.0,799.0,screw_removed,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,929.0,951.0,839.0,food_pulled,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,951.0,960.0,861.0,food_removed_and_light_turned,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,960.0,986.0,870.0,occluder_placed,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,5.0,non-social_experimenter,15.0,0.0,986.0,1008.0,896.0,post_trial_pupil_measured,0.0,1.0,pellet
hepach2021chimpanzees,2,cpd2_time_locked_all,alex,m,chimpanzee,1,6.0,non-social_experimenter,15.0,0.0,1008.0,1014.0,918.0,first_light_on,0.0,1.0,grape
