"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee "
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition the participant was presented in a given session – non-social_chimpanzee / non-social_experimenter/ social_chimpanzee/ social_experimenter"
"food_time","time in seconds the food was placed in front of the participant (but not accessible) – 7 /15 "
"stooge_present","whether the stooge(conspecific) is present inside the booth (1) or the booth is empty(0) "
"time","start of the specific event (seconds from the time the system (camera) was turned on"
"time_next","end of the specific event"
"trial_time","session time in seconds indicating time point of each event within a trial – from the first event (0) to the last event of the session"
"event","step by step events occurred within each trial – e.g. first_light_on / remove_occluder etc. "
"attempted_help","whether the participant attempted to help or not "
"overall_session","overall number of the session – 1 refers to the every first day of the experiments increased by 1 with every day "
"food","type of food presented to the participant with an apparatus that delivered food if a rope was pulled "
