"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication "
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee"
"competitive_correct_out_of_10_trials","number of competitive correct trials- prohibiting condition"
"competitive_trials_no_approach","number of trials in which participants did not participate "
"competitive_percent","percentage of competitive correct trials"
"cooperative_correct_out_of_10_trials","number of cooperative correct trials - informing condition "
"cooperative_trials_no_approach","number of trials in which participants did not participate"
"cooperative_percent","percentage of competitive correct trials"
"drop_out","participant drop out /not included in analyses "
