"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","full table condition- three cups over the whole length of the table. Left and right cups stood next to the edge of the table and the middle cup occupied the position in the middle of the table/ half table condition- food hidden in one of three cups near each other after 30 seconds they retrieve"
"position","place where was the reward was -left/right/ middle"
"chosen","whether participant choice was – left/right/ middle"
"correct","whether participant choice was correct - correct/incorrect"
