study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,condition,position,chosen,correct
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,1.0,half_table,middle,middle,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,2.0,half_table,middle,middle,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,3.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,4.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,5.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,6.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,7.0,half_table,middle,middle,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,8.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,9.0,half_table,left,right,no
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,10.0,half_table,right,left,no
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,11.0,half_table,middle,left,no
hribar2011great,2,2009,09,24,alex,8.0,m,chimpanzee,1.0,12.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,1.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,2.0,half_table,middle,middle,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,3.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,4.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,5.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,6.0,half_table,middle,left,no
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,7.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,8.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,9.0,half_table,middle,right,no
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,10.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,11.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,alexandra,10.0,f,chimpanzee,1.0,12.0,half_table,middle,left,no
hribar2011great,2,2009,09,24,fifi,16.0,f,chimpanzee,1.0,1.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,fifi,16.0,f,chimpanzee,1.0,2.0,half_table,middle,middle,yes
hribar2011great,2,2009,09,24,fifi,16.0,f,chimpanzee,1.0,3.0,half_table,left,left,yes
hribar2011great,2,2009,09,24,fifi,16.0,f,chimpanzee,1.0,4.0,half_table,middle,middle,yes
hribar2011great,2,2009,09,24,fifi,16.0,f,chimpanzee,1.0,5.0,half_table,right,right,yes
hribar2011great,2,2009,09,24,fifi,16.0,f,chimpanzee,1.0,6.0,half_table,left,left,yes
