study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,condition_group,order,choice,sum_correct,exp_order,feature,place,comments
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,1,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,2,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,3,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,4,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,5,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,6,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,7,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,8,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,9,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,10,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,11,training,exp,e1_e2,correct_baited_location,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,16,joey,24,24,m,bonobo,1,12,training,exp,e1_e2,correct_baited_location,12.0,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,1,training,exp,e1_e2,trial_not_conducted,,table_floor,0*,92*,did_not_do_6_training_trials_before_test
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,2,training,exp,e1_e2,trial_not_conducted,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,3,training,exp,e1_e2,trial_not_conducted,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,4,training,exp,e1_e2,trial_not_conducted,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,5,training,exp,e1_e2,trial_not_conducted,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,6,training,exp,e1_e2,trial_not_conducted,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,1,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,2,test,exp,e1_e2,middle,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,3,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,4,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,5,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,6,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,7,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,8,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,9,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,10,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,11,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,19,joey,24,24,m,bonobo,2,12,test,exp,e1_e2,place,,table_floor,0*,92*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,1,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,2,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,3,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,4,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,5,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,6,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
