study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,trial,condition,food,number_tubes,location,choice,trade,trade_number,tested_fully,returned_empty_tubes,comments
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,1.0,trading_control_1,plum,,,,trade,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,2.0,trading_control_1,grape,,,,trade,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,1.0,initial_choice,grape,,right,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,2.0,initial_choice,grape,,right,plum,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,3.0,initial_choice,grape,,left,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,4.0,initial_choice,grape,,left,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,5.0,initial_choice,grape,,left,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,6.0,initial_choice,grape,,right,plum,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,7.0,initial_choice,grape,,left,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,8.0,initial_choice,grape,,right,plum,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,9.0,initial_choice,grape,,right,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,10.0,initial_choice,grape,,right,plum,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,11.0,initial_choice,grape,,left,plum,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,16,kila,4,f,orangutan,12.0,initial_choice,grape,,left,grape,,,yes,,
kanngiesser2011limits,3,scarcity,2004,7,17,kila,4,f,orangutan,1.0,endowment,grape,12,,,,0,yes,10,
