"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"condition"," initial_choice - first choice between banana and pellet to assess participant preference/ trading_control- to assess if participants would be willing to trade food items for their endowment / endowment- participants were endowed with banana or pellet and offered to exchange for the opposite type of food" 
"food","type of food presented to the participant"
"number_tubes","number of tubes (with food) that they were endowed with during endowment trials"
"location","location of the food described in the food column"
"choice","choice of food"
"trade","whether the participants traded or not in trading-control and endowment trials"
"trade_number","number of trades in endowment trials"
"tested_fully","whether participants performed in all trial steps"
"returned_empty_tubes","whether participants returned empty tubes"
"comments","author provided notes"
