study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,genus,dyad,dyad_id,session ,trial,trial_id,species_subgroup,condition,owner_dom,start_individ,owner_sex,own_items,other_items,total_owner
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,1,1,c1_1,a,simult,yes,both,f,1,1,2
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,1,2,c1_2,a,simult,yes,both,f,1,1,2
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,1,3,c1_3,a,simult,yes,both,f,1,1,2
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,1,4,c1_4,a,simult,yes,both,f,2,1,3
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,2,1,c1_5,a,delayed,yes,no,f,0,0,0
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,2,2,c1_6,a,delayed,yes,yes,f,2,2,4
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,2,3,c1_7,a,delayed,yes,no,f,0,0,0
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,2,4,c1_8,a,delayed,yes,yes,f,2,2,4
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,3,1,c1_9,a,delayed,yes,yes,f,2,2,4
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,3,2,c1_10,a,delayed,yes,no,f,0,0,0
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,3,3,c1_11,a,delayed,yes,yes,f,2,2,4
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,3,4,c1_12,a,delayed,yes,no,f,0,0,0
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,4,1,c1_13,a,simult,yes,both,f,2,1,3
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,4,2,c1_14,a,simult,yes,both,f,1,1,2
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,4,3,c1_15,a,simult,yes,both,f,2,1,3
kanngiesser2020children,tai,11,f,owner,kara,8,f,non_owner,chimpanzee,pan,tai_kara,c1,4,4,c1_16,a,simult,yes,both,f,0,2,2
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,1,1,c1_1,a,simult,no,both,f,1,1,2
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,1,2,c1_2,a,simult,no,both,f,1,1,2
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,1,3,c1_3,a,simult,no,both,f,1,1,2
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,1,4,c1_4,a,simult,no,both,f,1,0,1
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,2,1,c1_5,a,delayed,no,yes,f,2,2,4
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,2,2,c1_6,a,delayed,no,no,f,0,0,0
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,2,3,c1_7,a,delayed,no,yes,f,2,2,4
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,2,4,c1_8,a,delayed,no,no,f,0,0,0
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,3,1,c1_9,a,delayed,no,no,f,0,0,0
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,3,2,c1_10,a,delayed,no,yes,f,2,2,4
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,3,3,c1_11,a,delayed,no,no,f,0,0,0
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,3,4,c1_12,a,delayed,no,yes,f,2,2,4
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,4,1,c1_13,a,simult,no,both,f,1,0,1
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,4,2,c1_14,a,simult,no,both,f,1,1,2
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,4,3,c1_15,a,simult,no,both,f,1,0,1
kanngiesser2020children,kara,8,f,owner,tai,11,f,non_owner,chimpanzee,pan,kara_tai,c1,4,4,c1_16,a,simult,no,both,f,0,2,2
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,1,1,c2_1,a,simult,no,both,m,2,1,3
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,1,2,c2_2,a,simult,no,both,m,1,2,3
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,1,3,c2_3,a,simult,no,both,m,1,2,3
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,1,4,c2_4,a,simult,no,both,m,0,2,2
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,2,1,c2_5,a,delayed,no,yes,m,2,2,4
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,2,2,c2_6,a,delayed,no,no,m,0,1,1
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,2,3,c2_7,a,delayed,no,yes,m,2,2,4
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,2,4,c2_8,a,delayed,no,no,m,0,0,0
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,3,1,c2_9,a,delayed,no,no,m,0,0,0
kanngiesser2020children,kofi,8,m,owner,lome,13,m,non_owner,chimpanzee,pan,kofi_lome,c2,3,2,c2_10,a,delayed,no,yes,m,2,2,4
