study_id,participant,sex,species,group_id,gap,overlap
kano2011visual,viringika,f,gorilla,mpi,211.4444444,307.3333333
kano2011visual,kibara,f,gorilla,mpi,182.0,273.1111111
kano2011visual,louna,f,gorilla,mpi,206.625,333.8888889
kano2011visual,zola,f,gorilla,mpi,275.4444444,375.5555556
kano2011visual,bimbo,m,orangutan,mpi,202.8,230.5714286
kano2011visual,dokana,f,orangutan,mpi,187.8333333,266.5555556
kano2011visual,maia,f,orangutan,mpi,227.625,215.6666667
kano2011visual,padana,f,orangutan,mpi,195.0,260.0
kano2011visual,pini,f,orangutan,mpi,234.0,246.5
kano2011visual,raja,f,orangutan,mpi,243.625,246.7777778
kano2011visual,suaq,m,orangutan,mpi,207.375,314.2222222
kano2011visual,loi,,chimpanzee,gari,306.1666667,307.3333333
kano2011visual,misaki,,chimpanzee,gari,267.6666667,286.25
kano2011visual,mizuki,,chimpanzee,gari,308.0,251.6666667
kano2011visual,natsuki,,chimpanzee,gari,242.0,267.3333333
kano2011visual,tsubaki,,chimpanzee,gari,251.1666667,266.6666667
kano2011visual,zamba,,chimpanzee,gari,260.6666667,276.4
kano2011visual,iroha,,chimpanzee,gari,225.25,302.3333333
kano2011visual,hatsuka,,chimpanzee,gari,258.75,285.75
kano2011visual,mari,,chimpanzee,pri,301.25,312.2727273
kano2011visual,akira,,chimpanzee,pri,230.0833333,291.8333333
kano2011visual,pen,,chimpanzee,pri,160.0,238.25
kano2011visual,ai,,chimpanzee,pri,258.2363636,291.0
kano2011visual,aym,,chimpanzee,pri,201.5166667,226.6833333
kano2011visual,chloe,,chimpanzee,pri,224.35,225.35
kano2011visual,cleo,,chimpanzee,pri,216.1833333,223.0166667
kano2011visual,pal,,chimpanzee,pri,196.5166667,217.85
kano2011visual,pan,,chimpanzee,pri,203.6,218.1
