study_id,participant,age_original,sex,species,hand,claw,target_famreach_hand_in_seconds,target_famreach_claw_in_seconds,target_grasp_hand_in_seconds,target_grasp_claw_in_seconds,target_testreach_hand_in_seconds,target_testreach_claw_in_seconds,distractor_famreach_hand_in_seconds,distractor_famreach_claw_in_seconds,distractor_grasp_hand_in_seconds,distractor_grasp_claw_in_seconds,distractor_testreach_hand_in_seconds,distractor_testreach_claw_in_seconds
kano2014great,yasa,adult,f,bonobo,1.0,0.0,0.195770047,0.070442464,0.268698376,0.262976086,0.024336283,0.0,0.05766369,0.18166823,0.082472647,0.004901961,0.044247788,0.056034483
kano2014great,fimi,young,f,bonobo,0.75,0.5,0.380630505,0.261726079,0.580228494,0.710502111,0.2018852,0.027688486,0.189456526,0.236710444,0.072517008,0.044450367,0.036241883,0.06839886
kano2014great,luiza,young,f,bonobo,0.666666667,0.5,0.12037037,0.024390244,0.251981474,0.512141673,0.193689828,0.057729469,0.069444444,0.069557362,0.019690577,0.056917792,0.108490308,0.104347826
kano2014great,kuno,adult,m,bonobo,,1.0,0.168246159,0.108325805,0.402289334,0.233964108,0.017699115,0.0,0.105902778,0.178861789,0.07727057,0.01417022,0.0,0.0
kano2014great,fraukje,adult,f,chimpanzee,0.0,0.0,0.133207071,0.156855847,0.479064088,0.584257111,0.150945294,0.06656227,0.080136578,0.177670361,0.061423766,0.022525677,0.078125,0.064102564
kano2014great,jahaga,adult,f,chimpanzee,1.0,0.333333333,0.07514881,0.093495935,0.102770745,0.29188877,0.103603604,0.182627276,0.08110119,0.080246914,0.01766526,0.062144634,0.0,0.169955407
kano2014great,riet,adult,f,chimpanzee,1.0,1.0,0.070436508,0.076923077,0.220669808,0.256515044,0.058306516,0.036956522,0.068910256,0.01336773,0.002109705,0.072213338,0.015486726,0.019565217
kano2014great,sandra,adult,f,chimpanzee,1.0,,0.100405093,0.103814884,0.114954765,0.060101279,0.06069992,0.0,0.13047138,0.0252849,0.023425941,0.054563492,0.025,0.0
kano2014great,ulla,adult,f,chimpanzee,1.0,0.5,0.102044753,0.071474359,0.261146546,0.458900177,0.202492698,0.069565217,0.072227734,0.108618668,0.031736111,0.017857143,0.148230088,0.12192336
kano2014great,kara,young,f,chimpanzee,0.5,0.666666667,0.222237828,0.32907141,0.200844919,0.315714669,0.061363636,0.092322429,0.11955001,0.204673639,0.095991561,0.024801587,0.070454545,0.072106331
kano2014great,alex,adult,m,chimpanzee,0.5,0.0,0.338322557,0.041930142,0.545729274,0.346644752,0.316854385,0.084782609,0.13343254,0.094373219,0.083689702,0.015873016,0.140888978,0.062820513
kano2014great,lome,adult,m,chimpanzee,0.666666667,,0.157826249,0.018518519,0.215529774,0.12961279,0.120454545,0.0,0.122058019,0.0,0.062877751,0.026578417,0.075945294,0.016949153
kano2014great,robert,adult,m,chimpanzee,1.0,0.5,0.13372763,0.118667917,0.27590699,0.164705186,0.013636364,0.028017241,0.125,0.062304565,0.054852321,0.112680644,0.006637168,0.068376068
kano2014great,bangolo,young,m,chimpanzee,0.75,0.25,0.28269541,0.191065597,0.36831588,0.295931059,0.214264581,0.029661017,0.015712682,0.052724359,0.110726351,0.0,0.253673784,0.134076551
kano2014great,kofi,young,m,chimpanzee,0.333333333,1.0,0.393834477,0.163387418,0.315214715,0.238618706,0.071822204,0.049145299,0.104910714,0.146930518,0.120639852,0.030567227,0.113736927,0.032051282
kano2014great,lobo,young,m,chimpanzee,0.333333333,1.0,0.152777778,0.088133787,0.328365264,0.174262615,0.036363636,0.013043478,0.195191213,0.06300813,0.023431786,0.012437811,0.133045052,0.045652174
kano2014great,dokana,adult,f,orangutan,1.0,0.5,0.228107222,0.194934334,0.329972773,0.461664193,0.271681416,0.140189521,0.16025641,0.234032989,0.025527597,0.020074697,0.257441673,0.077554812
kano2014great,padana,adult,f,orangutan,0.666666667,0.5,0.342338217,0.224280801,0.547673612,0.461368751,0.25122687,0.202558977,0.192875491,0.074656035,0.099712433,0.026785714,0.10619469,0.392174426
kano2014great,raja,young,f,orangutan,1.0,0.0,0.258356666,0.136178862,0.466774626,0.587830281,0.249362194,0.081896552,0.143264728,0.155878674,0.139129778,0.029761905,0.177688751,0.115100818
kano2014great,batak,young,m,orangutan,1.0,0.0,0.094697802,0.172422579,0.455908582,0.271366382,0.118745978,0.044491525,0.125117429,0.160569106,0.086000304,0.008706468,0.115918028,0.008695652
kano2014great,suaq,young,m,orangutan,0.75,1.0,0.416280864,0.301266561,0.661535913,0.426155288,0.336592667,0.239812085,0.167963761,0.064814815,0.189862467,0.029761905,0.265415154,0.137299
kano2014great,tanah,young,f,orangutan,0.333333333,0.5,0.026785714,0.166666667,0.65296726,0.55685839,0.076971038,0.18117849,0.31558642,0.37665801,0.065137131,0.089755355,0.139380531,0.218077803
