study_id,participant,age_in_years,sex,species,facility,full-face_trial_eye_ms ,full-face_trial_mouth_ms ,full-body_trial_face,full-body_trial_genital,full-body_trial_target,missclassified,discriminant_score
kano2015social,vijay,10,m,bonobo,ks,1368,302,1232,178,455,,-3.2
kano2015social,ulindi,21,f,bonobo,mpi,972,489,1034,400,292,,-2.4
kano2015social,luiza,9,f,bonobo,mpi,1158,659,1269,450,478,,-2.33
kano2015social,lenore,32,f,bonobo,ks,681,678,799,256,175,,-2.17
kano2015social,ikela,23,f,bonobo,ks,1461,356,1006,562,379,,-1.82
kano2015social,louise,42,f,bonobo,ks,1093,398,807,226,408,,-1.61
kano2015social,kuno,18,m,bonobo,mpi,1142,508,827,391,436,,-1.14
kano2015social,jasongo,24,m,bonobo,mpi,965,694,1078,532,615,,-0.8
kano2015social,fimi,6,f,bonobo,mpi,831,547,825,503,451,,-0.68
kano2015social,junior,19,m,bonobo,ks,821,457,748,758,295,,-0.5
kano2015social,joey,32,m,bonobo,mpi,1253,857,815,479,553,,-0.27
kano2015social,loto,5,m,bonobo,mpi,519,1106,922,550,563,*,-0.03
kano2015social,yasa,17,f,bonobo,mpi,924,522,896,596,669,*,0.14
kano2015social,lolita,25,f,bonobo,ks,163,343,456,570,316,*,0.37
kano2015social,ulla,37,f,chimpanzee,mpi,1455,471,1098,739,474,*,-1.28
kano2015social,riet,39,f,chimpanzee,mpi,1247,675,863,811,370,*,-0.51
kano2015social,zamba,18,m,chimpanzee,ks,249,152,663,601,392,,-0.11
kano2015social,kofi,9,m,chimpanzee,mpi,361,923,492,318,403,,0.25
kano2015social,alex,13,m,chimpanzee,mpi,816,1027,1004,340,901,,0.43
kano2015social,kara,9,f,chimpanzee,mpi,406,752,565,251,606,,0.57
kano2015social,iroha,5,f,chimpanzee,ks,679,413,602,673,474,,0.59
kano2015social,lome,13,m,chimpanzee,mpi,461,878,650,560,506,,0.62
kano2015social,jahaga,21,f,chimpanzee,mpi,978,481,722,830,523,,0.66
kano2015social,sandra,21,f,chimpanzee,mpi,751,1232,896,867,535,,0.66
kano2015social,gertrudia,21,f,chimpanzee,mpi,417,394,337,375,421,,0.71
kano2015social,lobo,9,m,chimpanzee,mpi,543,897,735,555,611,,0.72
kano2015social,misaki,15,f,chimpanzee,ks,581,272,645,729,557,,0.87
kano2015social,robert,39,m,chimpanzee,mpi,546,987,634,818,490,,1.24
kano2015social,mizuki,17,f,chimpanzee,ks,764,370,699,470,859,,1.31
kano2015social,hatsuka,5,f,chimpanzee,ks,466,546,544,496,664,,1.32
kano2015social,bangolo,5,m,chimpanzee,mpi,420,941,585,284,771,,1.35
kano2015social,fraukje,38,f,chimpanzee,mpi,819,968,616,811,657,,1.87
kano2015social,fifi,21,f,chimpanzee,mpi,379,458,324,530,664,,2.17
kano2015social,natsuki,8,f,chimpanzee,ks,883,725,620,1097,809,,2.99
