"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee"
"facility","hosting facility where the apes lived (ks = kumamoto sanctuary/ mpi = zoo leipzig, "
"full-face_trial_eye_ms ","milliseconds within a three second trial looking at the eyes"
"full-face_trial_mouth_ms ","milliseconds within a three second trial looking at the mouth"
"full-body_trial_face","milliseconds within a three second trial looking at the face"
"full-body_trial_genital","milliseconds within a three second trial looking at the genitals"
"full-body_trial_target","milliseconds within a three second trials looking at the target"
"missclassified","the model has placed an observation into a different group than its actual group. "
"discriminant_score","a value calculated from a discriminant function for each case - used to classify the case into one of the predefined groups based on the predictor variables. "
