study_id,year,participant,age_in_years,sex,species,session,condition,value
kano2016nasal,2014,dorien,33,f,chimpanzee,1,chimp_scream,-2.648015873
kano2016nasal,2014,dorien,33,f,chimpanzee,1,orangutan_long_call,-0.399404762
kano2016nasal,2014,dorien,33,f,chimpanzee,1,no_sound,0.833333333
kano2016nasal,2014,dorien,33,f,chimpanzee,2,chimp_scream,-0.662896825
kano2016nasal,2014,dorien,33,f,chimpanzee,2,orangutan_long_call,-1.334325397
kano2016nasal,2014,dorien,33,f,chimpanzee,2,no_sound,0.078670635
kano2016nasal,2014,fraukje,38,f,chimpanzee,1,chimp_scream,-1.620039683
kano2016nasal,2014,fraukje,38,f,chimpanzee,1,orangutan_long_call,-0.319642857
kano2016nasal,2014,fraukje,38,f,chimpanzee,1,no_sound,-0.274404762
kano2016nasal,2014,fraukje,38,f,chimpanzee,2,chimp_scream,-1.009325397
kano2016nasal,2014,fraukje,38,f,chimpanzee,2,orangutan_long_call,-0.975396825
kano2016nasal,2014,fraukje,38,f,chimpanzee,2,no_sound,0.066170635
kano2016nasal,2014,frodo,20,m,chimpanzee,1,chimp_scream,-2.718849206
kano2016nasal,2014,frodo,20,m,chimpanzee,1,orangutan_long_call,-0.357738095
kano2016nasal,2014,frodo,20,m,chimpanzee,1,no_sound,0.8625
kano2016nasal,2014,frodo,20,m,chimpanzee,2,chimp_scream,-1.729563492
kano2016nasal,2014,frodo,20,m,chimpanzee,2,orangutan_long_call,-0.027777778
kano2016nasal,2014,frodo,20,m,chimpanzee,2,no_sound,-0.161210317
kano2016nasal,2014,kara,9,f,chimpanzee,1,chimp_scream,-2.312896825
kano2016nasal,2014,kara,9,f,chimpanzee,1,orangutan_long_call,-0.601785714
kano2016nasal,2014,kara,9,f,chimpanzee,1,no_sound,0.700595238
kano2016nasal,2014,kara,9,f,chimpanzee,2,chimp_scream,-1.611111111
kano2016nasal,2014,kara,9,f,chimpanzee,2,orangutan_long_call,-1.220039683
kano2016nasal,2014,kara,9,f,chimpanzee,2,no_sound,0.912599206
kano2016nasal,2014,kofi,9,m,chimpanzee,1,chimp_scream,-1.83015873
kano2016nasal,2014,kofi,9,m,chimpanzee,1,orangutan_long_call,-0.426190476
kano2016nasal,2014,kofi,9,m,chimpanzee,1,no_sound,0.042261905
kano2016nasal,2014,kofi,9,m,chimpanzee,2,chimp_scream,-1.062896825
kano2016nasal,2014,kofi,9,m,chimpanzee,2,orangutan_long_call,-0.886111111
kano2016nasal,2014,kofi,9,m,chimpanzee,2,no_sound,0.030456349
kano2016nasal,2014,lobo,9,m,chimpanzee,1,chimp_scream,-1.054563492
kano2016nasal,2014,lobo,9,m,chimpanzee,1,orangutan_long_call,-0.841666667
kano2016nasal,2014,lobo,9,m,chimpanzee,1,no_sound,-0.317857143
kano2016nasal,2014,lobo,9,m,chimpanzee,2,chimp_scream,-1.462301587
kano2016nasal,2014,lobo,9,m,chimpanzee,2,orangutan_long_call,-0.660515873
kano2016nasal,2014,lobo,9,m,chimpanzee,2,no_sound,0.204265873
kano2016nasal,2014,lome,13,m,chimpanzee,1,chimp_scream,-2.159920635
kano2016nasal,2014,lome,13,m,chimpanzee,1,orangutan_long_call,-0.332738095
kano2016nasal,2014,lome,13,m,chimpanzee,1,no_sound,0.278571429
kano2016nasal,2014,lome,13,m,chimpanzee,2,chimp_scream,-1.466468254
kano2016nasal,2014,lome,13,m,chimpanzee,2,orangutan_long_call,0.071031746
kano2016nasal,2014,lome,13,m,chimpanzee,2,no_sound,-0.523115079
kano2016nasal,2014,riet,39,f,chimpanzee,1,chimp_scream,-3.035515873
kano2016nasal,2014,riet,39,f,chimpanzee,1,orangutan_long_call,0.775595238
kano2016nasal,2014,riet,39,f,chimpanzee,1,no_sound,0.045833333
kano2016nasal,2014,riet,39,f,chimpanzee,2,chimp_scream,-2.342956349
kano2016nasal,2014,riet,39,f,chimpanzee,2,orangutan_long_call,0.348115079
kano2016nasal,2014,riet,39,f,chimpanzee,2,no_sound,0.076289683
kano2016nasal,2014,robert,39,m,chimpanzee,1,chimp_scream,-1.281349206
kano2016nasal,2014,robert,39,m,chimpanzee,1,orangutan_long_call,0.242261905
kano2016nasal,2014,robert,39,m,chimpanzee,1,no_sound,-1.175
kano2016nasal,2014,robert,39,m,chimpanzee,2,chimp_scream,-0.550396825
kano2016nasal,2014,robert,39,m,chimpanzee,2,orangutan_long_call,-0.237896825
kano2016nasal,2014,robert,39,m,chimpanzee,2,no_sound,-1.130257937
