study_id,experiment,participant,sex,species,group_id,order_of_condition,face_view_time_ostensive_still_phase,face_view_time_ostensive_cue_phase,face_view_time_ostensive_look_phase,face_view_time_control_still_phase,face_view_time_control_cue_phase,face_view_time_control_look_phase,first_look_ostensive_target,first_look_ostensive_distractor,first_look_control_target,first_look_control_distractor,viewing_time_ostensive_target,viewing_time_ostensive_distractor,viewing_time_control_target,viewing_time_control_distractor
kano2018human,2,ikela,f ,bonobo,ks,ostension,561.6666667,2843.888889,386.6666667,509.4444444,1038.888889,67.22222222,3.0,1.0,1.0,0.0,281.6666667,48.88888889,34.44444444,0.0
kano2018human,2,jr,m ,bonobo,ks,control,226.6666667,1227.222222,575.0,282.7777778,915.5555556,740.0,0.0,2.0,2.0,3.0,0.0,83.88888889,187.7777778,130.5555556
kano2018human,2,lenore,f ,bonobo,ks,ostension,425.0,1351.666667,571.1111111,255.5555556,1214.444444,298.3333333,1.0,0.0,1.0,1.0,247.2222222,0.0,62.22222222,42.77777778
kano2018human,2,loleta,f ,bonobo,ks,control,320.0,372.7777778,185.0,372.2222222,459.4444444,180.0,3.0,0.0,1.0,2.0,173.8888889,88.33333333,3.333333333,104.4444444
kano2018human,2,louise,f ,bonobo,ks,control,645.0,2813.333333,913.3333333,595.0,1006.111111,688.8888889,3.0,1.0,1.0,2.0,290.5555556,116.6666667,87.22222222,107.2222222
kano2018human,2,vijay,m ,bonobo,ks,ostension,238.3333333,2240.555556,935.0,392.7777778,876.1111111,968.3333333,2.0,3.0,1.0,0.0,623.8888889,357.7777778,19.44444444,0.0
kano2018human,2,misaki,f ,chimpanzee,ks,control,825.0,2188.888889,2885.555556,269.4444444,1441.111111,1697.222222,1.0,0.0,0.0,0.0,1076.111111,933.8888889,121.6666667,0.0
kano2018human,2,hatsuka,f,chimpanzee,ks,ostension,857.2222222,1792.777778,570.0,560.5555556,1350.0,781.1111111,5.0,1.0,3.0,3.0,743.8888889,587.7777778,406.1111111,420.0
kano2018human,2,iroha,f ,chimpanzee,ks,ostension,450.0,1683.333333,1047.777778,370.0,1949.444444,938.3333333,5.0,1.0,4.0,0.0,847.2222222,727.2222222,285.0,156.6666667
kano2018human,2,mizuki,f ,chimpanzee,ks,ostension,531.1111111,2164.444444,1345.555556,198.3333333,1003.333333,396.6666667,5.0,0.0,3.0,1.0,526.1111111,230.5555556,159.4444444,43.33333333
kano2018human,2,natsuki,f ,chimpanzee,ks,ostension,250.0,1365.0,398.8888889,53.33333333,1436.666667,337.2222222,2.0,1.0,4.0,0.0,220.0,255.0,397.2222222,42.22222222
kano2018human,2,ai,,chimpanzee,pri,control,353.8888889,2037.777778,1070.555556,452.7777778,1975.555556,777.2222222,3.0,3.0,1.0,2.0,162.7777778,213.3333333,126.6666667,68.33333333
kano2018human,2,akira,,chimpanzee,pri,control,1266.111111,3035.555556,2676.111111,1232.222222,2958.888889,3922.777778,4.0,2.0,1.0,1.0,556.1111111,310.0,140.0,139.4444444
kano2018human,2,chloe,,chimpanzee,pri,ostension,573.3333333,2396.666667,1737.222222,992.7777778,2225.0,2371.666667,2.0,4.0,3.0,3.0,970.0,987.7777778,754.4444444,847.2222222
kano2018human,2,cleo,,chimpanzee,pri,control,130.0,870.5555556,162.7777778,508.3333333,1423.888889,487.7777778,1.0,3.0,4.0,1.0,288.3333333,382.2222222,262.7777778,53.88888889
kano2018human,2,mari,,chimpanzee,pri,ostension,431.1111111,593.3333333,558.8888889,51.66666667,841.1111111,121.6666667,0.0,1.0,1.0,0.0,79.44444444,42.77777778,18.88888889,0.0
kano2018human,2,pal,,chimpanzee,pri,ostension,339.4444444,891.1111111,140.0,161.6666667,861.6666667,117.7777778,1.0,3.0,4.0,2.0,597.2222222,1255.555556,416.6666667,436.6666667
kano2018human,2,pan,,chimpanzee,pri,control,321.1111111,2490.0,707.7777778,390.5555556,2060.555556,952.2222222,6.0,0.0,2.0,2.0,765.0,236.6666667,475.5555556,147.2222222
