column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
ape,the name of the participant
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/orangutan/rhesus 
group_id,the facility participants are from – mpi(WKPRC)/ ks(kumamoto sanctuary)
eye,viewing time in seconds for eye as an area-of-interest
mouth,viewing time in seconds for mouth as an area-of-interest
head,viewing time in seconds for head as an area-of-interest
action_target,viewing time in seconds for action as an area-of-interest
