study_id,experiment,participant,sex,species,group_id,eye,mouth,head,in-hand_action_targets,distal_action_targets
kano2018primate,2,alex,m,chimpanzee,mpi,7.433333333,40.46666667,58.71666667,25.51666667,12.93333333
kano2018primate,2,bangolo,m,chimpanzee,mpi,4.033333333,32.36666667,67.86666667,21.48333333,8.566666667
kano2018primate,2,fifi,f,chimpanzee,mpi,2.383333333,20.26666667,38.33333333,12.18333333,5.233333333
kano2018primate,2,fraukje,f,chimpanzee,mpi,18.36666667,31.9,66.43333333,14.6,5.783333333
kano2018primate,2,jahaga,f,chimpanzee,mpi,12.28333333,27.63333333,76.11666667,10.56666667,0.8
kano2018primate,2,kara,f,chimpanzee,mpi,3.783333333,27.85,58.2,14.2,2.183333333
kano2018primate,2,kofi,m,chimpanzee,mpi,3.2,37.58333333,55.91666667,19.33333333,3.133333333
kano2018primate,2,lobo,m,chimpanzee,mpi,3.55,40.61666667,62.5,14.31666667,5.083333333
kano2018primate,2,lome,m,chimpanzee,mpi,4.45,30.06666667,67.86666667,13.66666667,3.683333333
kano2018primate,2,riet,f,chimpanzee,mpi,15.11666667,35.83333333,77.51666667,21.91666667,5.983333333
kano2018primate,2,robert,m,chimpanzee,mpi,5.966666667,33.33333333,56.91666667,18.4,6.366666667
kano2018primate,2,sandra,f,chimpanzee,mpi,14.75,38.31666667,62.86666667,15.86666667,3.033333333
kano2018primate,2,gertrudia,f,chimpanzee,mpi,4.3,21.75,32.95,9.566666667,1.85
kano2018primate,2,ulla,f,chimpanzee,mpi,16.86666667,25.95,80.65,16.2,2.95
kano2018primate,2,hatsuka,f,chimpanzee,ks1,6.783333333,31.98333333,59.46666667,29.45,25.38333333
kano2018primate,2,iroha,f,chimpanzee,ks1,9.85,24.95,66.35,20.61666667,9.35
kano2018primate,2,zamba,m,chimpanzee,ks1,8.366666667,21.86666667,57.51666667,14.81666667,3.833333333
kano2018primate,2,misaki,f,chimpanzee,ks1,5.566666667,37.51666667,55.08333333,29.2,12.08333333
kano2018primate,2,mizuki,f,chimpanzee,ks1,14.25,28.05,65.3,37.5,17.58333333
kano2018primate,2,natsuki,f,chimpanzee,ks1,10.53333333,36.5,66.2,42.86666667,23.55
kano2018primate,2,candy,f,chimpanzee,ks2,5.25,18.31666667,36.0,8.25,2.616666667
kano2018primate,2,haruna,f,chimpanzee,ks2,4.016666667,23.81666667,25.51666667,10.71666667,2.2
kano2018primate,2,nacky,f,chimpanzee,ks2,4.75,31.9,36.4,15.28333333,5.55
kano2018primate,2,nico,f,chimpanzee,ks2,6.133333333,12.31666667,33.15,6.166666667,0.766666667
kano2018primate,2,oumu,f,chimpanzee,ks2,9.416666667,20.23333333,45.51666667,13.6,6.8
kano2018primate,2,sachi,f,chimpanzee,ks2,13.73333333,22.15,59.15,9.5,0.583333333
