study_id,experiment,experiment_name,participant,sex,species,condition,group_id,looking_time_in_the_anticipatory_looking_window_ms_correct_side,looking_time_in_the_anticipatory_looking_window_ms_incorrect_side,dls_differential_looking_score,correct,incorrect
kano2019great,1,dls,azibo,m,chimpanzee,opaque,mpi,0.0,600.0,-1.0,,
kano2019great,1,dls,daza,f,chimpanzee,opaque,mpi,300.0,0.0,1.0,,
kano2019great,1,dls,dokana,f,orangutan,opaque,mpi,333.3333333,0.0,1.0,,
kano2019great,1,dls,fraukje,f,chimpanzee,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,jeudi,f,chimpanzee,opaque,mpi,250.0,0.0,1.0,,
kano2019great,1,dls,kasai_II,m,bonobo,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,lexi,f,bonobo,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,lobo,m,chimpanzee,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,raja,f,orangutan,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,riet,f,chimpanzee,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,robert,m,chimpanzee,opaque,mpi,300.0,0.0,1.0,,
kano2019great,1,dls,swela,f,chimpanzee,opaque,mpi,350.0,333.3333333,0.024390244,,
kano2019great,1,dls,yaro,m,bonobo,opaque,mpi,0.0,0.0,,,
kano2019great,1,dls,yasa,f,bonobo,opaque,mpi,233.3333333,233.3333333,0.0,,
kano2019great,1,dls,ikela,f,bonobo,opaque,ks,433.3333333,176.6666667,0.420765027,,
kano2019great,1,dls,lolita,f,bonobo,opaque,ks,0.0,0.0,,,
kano2019great,1,dls,mizuki,f,chimpanzee,opaque,ks,330.0,0.0,1.0,,
kano2019great,1,dls,natsuki,f,chimpanzee,opaque,ks,770.0,780.0,-0.006451613,,
kano2019great,1,dls,vijay,m,bonobo,opaque,ks,246.6666667,0.0,1.0,,
kano2019great,1,dls,akira,m,chimpanzee,opaque,pri,0.0,0.0,,,
kano2019great,1,dls,gon,m,chimpanzee,opaque,pri,296.6666667,0.0,1.0,,
kano2019great,1,dls,mari,f,chimpanzee,opaque,pri,0.0,0.0,,,
kano2019great,1,dls,pal,f,chimpanzee,opaque,pri,303.3333333,186.6666667,0.238095238,,
kano2019great,1,dls,alex,m,chimpanzee,see-through,mpi,0.0,0.0,,,
kano2019great,1,dls,dorien,f,chimpanzee,see-through,mpi,233.3333333,0.0,1.0,,
kano2019great,1,dls,frederike,f,chimpanzee,see-through,mpi,450.0,316.6666667,0.173913043,,
kano2019great,1,dls,frodo,m,chimpanzee,see-through,mpi,350.0,266.6666667,0.135135135,,
kano2019great,1,dls,gemena,f,bonobo,see-through,mpi,200.0,0.0,1.0,,
kano2019great,1,dls,hope,f,chimpanzee,see-through,mpi,0.0,833.3333333,-1.0,,
kano2019great,1,dls,jasongo,m,bonobo,see-through,mpi,0.0,0.0,,,
kano2019great,1,dls,kisha,f,chimpanzee,see-through,mpi,0.0,216.6666667,-1.0,,
kano2019great,1,dls,kuno,m,bonobo,see-through,mpi,0.0,0.0,,,
kano2019great,1,dls,lome,m,chimpanzee,see-through,mpi,0.0,0.0,,,
kano2019great,1,dls,luiza,f,bonobo,see-through,mpi,0.0,0.0,,,
kano2019great,1,dls,padana,f,orangutan,see-through,mpi,0.0,4116.666667,-1.0,,
kano2019great,1,dls,pini,f,orangutan,see-through,mpi,0.0,2283.333333,-1.0,,
kano2019great,1,dls,tai,f,chimpanzee,see-through,mpi,533.3333333,0.0,1.0,,
kano2019great,1,dls,hatsuka,f,chimpanzee,see-through,ks,716.6666667,780.0,-0.042316258,,
kano2019great,1,dls,junior,m,bonobo,see-through,ks,0.0,0.0,,,
kano2019great,1,dls,connie-lenore,f,bonobo,see-through,ks,146.6666667,666.6666667,-0.639344262,,
kano2019great,1,dls,louise,f,bonobo,see-through,ks,0.0,196.6666667,-1.0,,
kano2019great,1,dls,misaki,f,chimpanzee,see-through,ks,1046.666667,0.0,1.0,,
kano2019great,1,dls,zamba,m,chimpanzee,see-through,ks,416.6666667,0.0,1.0,,
kano2019great,1,dls,ai,f,chimpanzee,see-through,pri,0.0,260.0,-1.0,,
kano2019great,1,dls,chloe,f,chimpanzee,see-through,pri,0.0,0.0,,,
kano2019great,1,dls,cleo,f,chimpanzee,see-through,pri,0.0,246.6666667,-1.0,,
kano2019great,1,dls,pendesa,f,chimpanzee,see-through,pri,0.0,126.6666667,-1.0,,
kano2019great,1,first_look,mizuki,f,chimpanzee,opaque,ks,,,,1.0,0.0
kano2019great,1,first_look,natsuki,f,chimpanzee,opaque,ks,,,,0.0,1.0
kano2019great,1,first_look,lolita,f,bonobo,opaque,ks,,,,0.0,0.0
kano2019great,1,first_look,ikela,f,bonobo,opaque,ks,,,,0.0,1.0
kano2019great,1,first_look,vijay,m,bonobo,opaque,ks,,,,1.0,0.0
kano2019great,1,first_look,hatsuka,f,chimpanzee,see-through,ks,,,,0.0,1.0
kano2019great,1,first_look,misaki,f,chimpanzee,see-through,ks,,,,1.0,0.0
kano2019great,1,first_look,zamba,m,chimpanzee,see-through,ks,,,,1.0,0.0
kano2019great,1,first_look,connie-lenore,f,bonobo,see-through,ks,,,,0.0,1.0
kano2019great,1,first_look,louise,f,bonobo,see-through,ks,,,,0.0,1.0
kano2019great,1,first_look,junior,m,bonobo,see-through,ks,,,,0.0,0.0
kano2019great,1,first_look,azibo,m,chimpanzee,opaque,mpi,,,,0.0,1.0
kano2019great,1,first_look,daza,f,chimpanzee,opaque,mpi,,,,1.0,0.0
kano2019great,1,first_look,dokana,f,orangutan,opaque,mpi,,,,1.0,0.0
kano2019great,1,first_look,fraukje,f,chimpanzee,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,jeudi,f,chimpanzee,opaque,mpi,,,,1.0,0.0
kano2019great,1,first_look,kasai_II,m,bonobo,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,lexi,f,bonobo,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,lobo,m,chimpanzee,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,raja,f,orangutan,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,riet,f,chimpanzee,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,robert,m,chimpanzee,opaque,mpi,,,,1.0,0.0
kano2019great,1,first_look,swela,f,chimpanzee,opaque,mpi,,,,0.0,1.0
kano2019great,1,first_look,yaro,m,bonobo,opaque,mpi,,,,0.0,0.0
kano2019great,1,first_look,yasa,f,bonobo,opaque,mpi,,,,0.0,1.0
kano2019great,1,first_look,alex,m,chimpanzee,see-through,mpi,,,,0.0,0.0
kano2019great,1,first_look,dorien,f,chimpanzee,see-through,mpi,,,,1.0,0.0
kano2019great,1,first_look,frederike,f,chimpanzee,see-through,mpi,,,,1.0,0.0
kano2019great,1,first_look,frodo,m,chimpanzee,see-through,mpi,,,,0.0,1.0
kano2019great,1,first_look,gemena,f,bonobo,see-through,mpi,,,,1.0,0.0
kano2019great,1,first_look,hope,f,chimpanzee,see-through,mpi,,,,0.0,1.0
kano2019great,1,first_look,jasongo,m,bonobo,see-through,mpi,,,,0.0,0.0
kano2019great,1,first_look,kisha,f,chimpanzee,see-through,mpi,,,,0.0,1.0
kano2019great,1,first_look,kuno,m,bonobo,see-through,mpi,,,,0.0,0.0
kano2019great,1,first_look,lome,m,chimpanzee,see-through,mpi,,,,0.0,0.0
kano2019great,1,first_look,luiza,f,bonobo,see-through,mpi,,,,0.0,0.0
kano2019great,1,first_look,padana,f,orangutan,see-through,mpi,,,,0.0,1.0
kano2019great,1,first_look,pini,f,orangutan,see-through,mpi,,,,0.0,1.0
kano2019great,1,first_look,tai,f,chimpanzee,see-through,mpi,,,,1.0,0.0
kano2019great,1,first_look,akira,m,chimpanzee,opaque,pri,,,,0.0,0.0
kano2019great,1,first_look,gon,m,chimpanzee,opaque,pri,,,,1.0,0.0
kano2019great,1,first_look,mari,f,chimpanzee,opaque,pri,,,,0.0,0.0
kano2019great,1,first_look,pal,f,chimpanzee,opaque,pri,,,,0.0,1.0
kano2019great,1,first_look,ai,f,chimpanzee,see-through,pri,,,,0.0,1.0
kano2019great,1,first_look,chloe,f,chimpanzee,see-through,pri,,,,0.0,0.0
kano2019great,1,first_look,cleo,f,chimpanzee,see-through,pri,,,,0.0,1.0
kano2019great,1,first_look,pendesa,f,chimpanzee,see-through,pri,,,,0.0,1.0
