column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
experiment_name,name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc 
participant,name of the participant 
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/orangutan 
condition,variable referring to whether the experimenters used an opaque or a see through barrier during the test
group_id,the facility participants are from – mpi(WKPRC)/ks (Kumamoto Sanctuary)/pri (Primate Research Institute)
looking_time_in_the_anticipatory_looking_window_ms_correct_side,viewing time to the correct side during the anticipatory looking window -miliseconds
looking_time_in_the_anticipatory_looking_window_ms_incorrect_side,viewing time to the incorrect side during the anticipatory looking window -miliseconds
dls_differential_looking_score,"differential looking score (total viewing times to target minus total viewing times to distractor, divided by the sum of these values)"
correct,whether the participant look first to the correct target (correctly anticipating the looks of the agent)
incorrect,whether the participant look first to the incorrect target (incorrectly anticipating the looks of the agent)
