"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant "
"participant_2","name of the participant_2 "
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – competitor "
"species","species of individuals participating in the study - chimpanzee "
"dyad","name of the two participants that compose the dyad"
"rearing_history","rearing history of individuals participating in the study – nursery/mother"
"first_condition","the condition in which the competitor chooses first – social/nonsocial"
"percent_correct_nonsocial_pretest","choosing the stick after competitor with a transparent barrier  -big/small"
"percent_correct_nonsocial_training","choosing the stick after competitor with additional red barrier  -big/small"
"percent_smaller_looking_stick_nonsocial_test","the percentage of choosing a stick that looks smaller from the competitor’s side in a nonsocial condition -  both stickers the same size were present after competitor’s turn but from the competitor’s side one stick looked longer  "
"percent_correct_social_pretest","percentage of choosing the stick after competitor -small/no stick"
"percent_correct_social_training","percentage of choosing the stick after competitor with additional red barrier  - small/no stick"
"percent_smaller_looking_stick_social_test","percentage of choosing smaller looking stick from the competitor’s side in a social condition -  both stickers the same size were present after competitor’s turn but from the competitor’s side one stick looked longer"
"percent_smaller_looking_stick_first_condition","percentage of choosing smaller looking stick in the first condition – condition in which the competitor chooses first"
"percent_smaller_looking_stick_first_session","percentage of choosing smaller looking  stick  from the competitor’s side"
"percent_smaller_looking_stick_nonsocial_session_1","percentage of choosing smaller looking  stick when session 1 is nonsocial"
"percent_smaller_looking_stick_social_session_1","percentage of choosing smaller looking  stick when session 1 is social"
