"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"excluded_trials","trials where the participant was not attentive"
"repetition","repetition of a trial where the participant was not attentive/ _f indicates final trial which was used in analyses"
"correct_object","object the experimenter pointed to – all objects were pointed to the same amount"
"position_of_correct_object","side of the tool box on which object was located"
"opening_correct_side","coincidence of direction of pointing gesture and side of tool box the participant opened"
"giving_object_to_e","indication of whether or not the participant handed the object to the experimenter"
