"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant_right_es_view "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – focal_participant_left_es_view "
"species","species of individuals participating in the study - chimpanzee "
"dyad","name of the two participants that compose the dyad "
"dyad_original","name of the two participants that compose the dyad according to the original coding"
"dyad_sex","sex of the dyad - male-male (male)/ female-female (female)/ male-female or female-male (mixed)"
"trial","presentation of the experiment to the participants - usually numerical "
"friendship_relation","whether the two apes in the dyad had a friendship/relation"
"poke_left_focal_participant","whether the participant on the left side poked yogurt with their stick-tool"
"poke_right_focal_participant","whether the participant on the right side poked yogurt with their stick-tool"
"poke_total","total number of pokes"
"turn_taking_within_trial","total number of turn takings within a trial. A turn taking consisted on the poking of one individual after the partner had previously poked"
"total_turn_taking_per_dyad","total number of turn takings per dyad within a session. "
