study_id,experiment_name,participant,sex,species,site,condition,target_ms,distractor_ms,dls,firstlook_target,firstlook_distractor,firstlook_correct
krupenye2016great,study_2,alex,m,chimpanzee,leipzig,fb2,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,bangolo,m,chimpanzee,leipzig,fb2,533.3333333,233.3333333,0.391304348,1.0,0.0,1.0
krupenye2016great,study_2,batak,m,orangutan,leipzig,fb2,250.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,daza,f,chimpanzee,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,dokana,f,orangutan,leipzig,fb2,183.3333333,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,fimi,f,bonobo,leipzig,fb1,383.3333333,283.3333333,0.15,1.0,0.0,1.0
krupenye2016great,study_2,fraukje,f,chimpanzee,leipzig,fb2,66.66666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,frederike,f,chimpanzee,leipzig,fb1,300.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,gemena,f,bonobo,leipzig,fb1,0.0,500.0,-1.0,0.0,1.0,0.0
krupenye2016great,study_2,jahaga,f,chimpanzee,leipzig,fb2,633.3333333,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,jasongo,m,bonobo,leipzig,fb1,350.0,233.3333333,0.2,1.0,0.0,1.0
krupenye2016great,study_2,jeudi,f,chimpanzee,leipzig,fb2,333.3333333,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,kara,f,chimpanzee,leipzig,fb1,0.0,466.6666667,-1.0,0.0,1.0,0.0
krupenye2016great,study_2,kasai_II,m,bonobo,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,kofi,m,chimpanzee,leipzig,fb2,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,kuno,m,bonobo,leipzig,fb2,516.6666667,200.0,0.441860465,0.0,1.0,0.0
krupenye2016great,study_2,lexi,f,bonobo,leipzig,fb2,416.6666667,200.0,0.351351351,0.0,1.0,0.0
krupenye2016great,study_2,lobo,m,chimpanzee,leipzig,fb1,100.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,lome,m,chimpanzee,leipzig,fb1,683.3333333,700.0,-0.012048193,1.0,0.0,1.0
krupenye2016great,study_2,luiza,f,bonobo,leipzig,fb2,550.0,316.6666667,0.269230769,1.0,0.0,1.0
krupenye2016great,study_2,padana,f,orangutan,leipzig,fb2,666.6666667,333.3333333,0.333333333,1.0,0.0,1.0
krupenye2016great,study_2,pini,f,orangutan,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,raja,f,orangutan,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,riet,f,chimpanzee,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,robert,m,chimpanzee,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_2,sandra,f,chimpanzee,leipzig,fb2,416.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,suaq,m,orangutan,leipzig,fb1,1950.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,tanah,f,orangutan,leipzig,fb1,416.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,yaro,m,bonobo,leipzig,fb1,166.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_2,yasa,f,bonobo,leipzig,fb2,216.6666667,216.6666667,0.0,0.0,1.0,0.0
krupenye2016great,study_2,hatsuka,f,chimpanzee,kumamoto,,,,,,,
krupenye2016great,study_2,ikela,f,bonobo,kumamoto,,,,,,,
krupenye2016great,study_2,iroha,f,chimpanzee,kumamoto,,,,,,,
krupenye2016great,study_2,junior,m,bonobo,kumamoto,,,,,,,
krupenye2016great,study_2,lenore,f,bonobo,kumamoto,,,,,,,
krupenye2016great,study_2,lolita,f,bonobo,kumamoto,,,,,,,
krupenye2016great,study_2,louise,f,bonobo,kumamoto,,,,,,,
krupenye2016great,study_2,misaki,f,chimpanzee,kumamoto,,,,,,,
krupenye2016great,study_2,mizuki,f,chimpanzee,kumamoto,,,,,,,
krupenye2016great,study_2,natsuki,f,chimpanzee,kumamoto,,,,,,,
krupenye2016great,study_2,vijay,m,bonobo,kumamoto,,,,,,,
