study_id,experiment_name,participant,sex,species,facility,condition,first_look,target_duration,distractor_duration,look_diff
krupenye2017test,2017_follow_up,alex,m,chimpanzee,mpi,fb2,tgt,233.3333333,0.0,233.3333333
krupenye2017test,2017_follow_up,bangolo,m,chimpanzee,mpi,fb2,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,batak,m,orangutan,mpi,fb2,tgt,433.3333333,933.3333333,-500.0
krupenye2017test,2017_follow_up,daza,f,chimpanzee,mpi,fb1,tgt,616.6666667,900.0,-283.3333333
krupenye2017test,2017_follow_up,dokana,f,orangutan,mpi,fb2,tgt,883.3333333,850.0,33.33333333
krupenye2017test,2017_follow_up,fimi,f,bonobo,mpi,fb1,tgt,333.3333333,0.0,333.3333333
krupenye2017test,2017_follow_up,fraukje,f,chimpanzee,mpi,fb2,tgt,2516.666667,0.0,2516.666667
krupenye2017test,2017_follow_up,frederike,f,chimpanzee,mpi,fb1,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,gemena,f,bonobo,mpi,fb1,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,jeudi,f,chimpanzee,mpi,fb2,tgt,766.6666667,533.3333333,233.3333333
krupenye2017test,2017_follow_up,kasai_II,m,bonobo,mpi,fb1,tgt,383.3333333,0.0,383.3333333
krupenye2017test,2017_follow_up,kofi,m,chimpanzee,mpi,fb2,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,kuno,m,bonobo,mpi,fb2,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,lexi,f,bonobo,mpi,fb2,tgt,450.0,0.0,450.0
krupenye2017test,2017_follow_up,lobo,m,chimpanzee,mpi,fb1,dist,0.0,116.6666667,-116.6666667
krupenye2017test,2017_follow_up,lome,m,chimpanzee,mpi,fb1,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,luiza,f,bonobo,mpi,fb2,dist,0.0,300.0,-300.0
krupenye2017test,2017_follow_up,padana,f,orangutan,mpi,fb2,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,pini,f,orangutan,mpi,fb1,tgt,200.0,550.0,-350.0
krupenye2017test,2017_follow_up,raja,f,orangutan,mpi,fb1,-,0.0,0.0,0.0
krupenye2017test,2017_follow_up,riet,f,chimpanzee,mpi,fb1,dist,533.3333333,600.0,-66.66666667
krupenye2017test,2017_follow_up,robert,m,chimpanzee,mpi,fb1,tgt,366.6666667,100.0,266.6666667
krupenye2017test,2017_follow_up,suaq,m,orangutan,mpi,fb1,dist,1650.0,350.0,1300.0
krupenye2017test,2017_follow_up,tanah,f,orangutan,mpi,fb1,-,0.0,0.0,0.0
