study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,tool_selection_test,option_on_the_right_experimenter_view ,option_on_the_left_experimenter_view ,apparatus_presented,chosen_option ,correct_tool 
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,1.0,tst,ball,stick,ball,stick,no
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,2.0,tst,ball,stick,stick,ball,no
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,3.0,tst,stick,ball,stick,stick,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,4.0,tst,stick,ball,ball,ball,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,5.0,tst,ball,stick,stick,ball,no
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,6.0,tst,stick,ball,stick,stick,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,7.0,tst,ball,stick,ball,stick,no
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,8.0,tst,stick,ball,ball,ball,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,9.0,tst,stick,ball,ball,ball,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,10.0,tst,ball,stick,stick,stick,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,11.0,tst,ball,stick,ball,ball,yes
laumer2019orangutans,1,tool_selection_test,2015,4,2,pini,26,f,orangutan,1.0,12.0,tst,stick,ball,stick,stick,yes
laumer2019orangutans,1,tool_selection_test,2015,3,28,raja,11,f,orangutan,1.0,1.0,tst,stick,ball,stick,stick,yes
laumer2019orangutans,1,tool_selection_test,2015,3,28,raja,11,f,orangutan,1.0,2.0,tst,stick,ball,stick,stick,yes
laumer2019orangutans,1,tool_selection_test,2015,3,28,raja,11,f,orangutan,1.0,3.0,tst,stick,ball,ball,ball,yes
