study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,quality_allocation_test,option_on_the_right_experimenter_view ,option_on_the_left_experimenter_view ,apparatus_presented,choice,food_inside_apparatus,profitable_option 
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,1.0,qat,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,2.0,qat,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,3.0,qat,banana_pellet,stick,stick,banana_pellet,apple,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,4.0,qat,ball,banana_pellet,ball,banana_pellet,apple,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,5.0,qat,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,6.0,qat,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,7.0,qat,ball,banana_pellet,ball,banana_pellet,apple,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,8.0,qat,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,9.0,qat,banana_pellet,ball,ball,banana_pellet,apple,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,10.0,qat,banana_pellet,stick,stick,banana_pellet,apple,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,11.0,qat,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,5,pini,26,f,orangutan,1.0,12.0,qat,stick,banana_pellet,stick,banana_pellet,apple,yes
laumer2019orangutans,2,quality_allocation_test,2015,4,2,raja,11,f,orangutan,1.0,1.0,qat,banana_pellet,stick,stick,banana_pellet,apple,yes
