study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,tool_functionality_test,option_on_the_right_experimenter_view ,option_on_the_left_experimenter_view ,apparatus_presented,choice,food_inside_apparatus,profitable_option 
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,1.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,2.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,3.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,4.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,5.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,6.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,7.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,8.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,9.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,10.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,11.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,pini,26,f,orangutan,1.0,12.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,20,raja,11,f,orangutan,1.0,1.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,2.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,3.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,4.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,5.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,6.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,7.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,8.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,9.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,10.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,11.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,21,raja,11,f,orangutan,1.0,12.0,tft,apple,ball,stick,apple,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,1.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,2.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,3.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,4.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,5.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,6.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,7.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,8.0,tft,apple,ball,stick,apple,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,9.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,10.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,11.0,tft,apple,ball,ball,apple,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,18,dokana,26,f,orangutan,1.0,12.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,6,padana,17,f,orangutan,1.0,1.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,6,padana,17,f,orangutan,1.0,2.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,6,padana,17,f,orangutan,1.0,3.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,6,padana,17,f,orangutan,1.0,4.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,5.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,6.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,7.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,8.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,9.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,10.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,11.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,13,padana,17,f,orangutan,1.0,12.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,1.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,2.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,3.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,4.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,5.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,6.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,7.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,8.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,9.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,10.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,11.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,suaq,5,m,orangutan,1.0,12.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,1.0,tft,grape,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,2.0,tft,stick,grape,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,3.0,tft,grape,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,4.0,tft,ball,grape,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,5.0,tft,ball,grape,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,6.0,tft,grape,stick,ball,grape,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,7.0,tft,stick,grape,ball,grape,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,8.0,tft,grape,ball,ball,grape,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,9.0,tft,stick,grape,stick,grape,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,10.0,tft,stick,grape,stick,grape,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,11.0,tft,grape,ball,stick,grape,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,5,5,bimbo,34,m,orangutan,1.0,12.0,tft,grape,stick,stick,grape,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,1.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,2.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,3.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,4.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,5.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,6.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,7.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,8.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,9.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,10.0,tft,apple,ball,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,11.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,27,pini,26,f,orangutan,2.0,12.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,1.0,tft,stick,apple,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,2.0,tft,stick,apple,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,3.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,4.0,tft,ball,apple,stick,apple,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,5.0,tft,apple,ball,stick,apple,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,6.0,tft,apple,ball,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,7.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,8.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,9.0,tft,ball,apple,stick,apple,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,10.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,11.0,tft,apple,stick,ball,apple,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,23,raja,11,f,orangutan,2.0,12.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,19,dokana,26,f,orangutan,2.0,1.0,tft,ball,apple,ball,ball,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,19,dokana,26,f,orangutan,2.0,2.0,tft,apple,stick,ball,stick,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,19,dokana,26,f,orangutan,2.0,3.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,19,dokana,26,f,orangutan,2.0,4.0,tft,apple,stick,stick,stick,banana_pellet,yes
laumer2019orangutans,4,tool_functionality_test,2015,4,19,dokana,26,f,orangutan,2.0,5.0,tft,ball,apple,stick,ball,banana_pellet,no
laumer2019orangutans,4,tool_functionality_test,2015,4,19,dokana,26,f,orangutan,2.0,6.0,tft,apple,ball,stick,ball,banana_pellet,no
