study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,tool_selection_quality_allocation_test,option_on_the_right_experimenter_view ,option_on_the_left_experimenter_view ,apparatus_on_the_right_experimenter_view ,content_right ,apparatus_on_the_left_experimenter_view ,content_left ,choice,profitable_option 
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,1.0,tsqat,stick,ball,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,2.0,tsqat,ball,stick,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,3.0,tsqat,stick,ball,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,4.0,tsqat,stick,ball,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,5.0,tsqat,stick,ball,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,6.0,tsqat,ball,stick,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,7.0,tsqat,ball,stick,stick,apple,ball,banana_pellet,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,8.0,tsqat,ball,stick,stick,apple,ball,banana_pellet,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,9.0,tsqat,ball,stick,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,10.0,tsqat,ball,stick,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,11.0,tsqat,stick,ball,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,5,5,pini,26,f,orangutan,1.0,12.0,tsqat,stick,ball,stick,apple,ball,banana_pellet,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,1.0,tsqat,ball,stick,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,2.0,tsqat,ball,stick,stick,apple,ball,banana_pellet,stick,no
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,3.0,tsqat,ball,stick,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,4.0,tsqat,ball,stick,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,5.0,tsqat,stick,ball,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,6.0,tsqat,stick,ball,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,7.0,tsqat,ball,stick,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,8.0,tsqat,stick,ball,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,9.0,tsqat,stick,ball,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,10.0,tsqat,stick,ball,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,11.0,tsqat,stick,ball,stick,apple,ball,banana_pellet,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,29,raja,11,f,orangutan,1.0,12.0,tsqat,ball,stick,stick,apple,ball,banana_pellet,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,1.0,tsqat,stick,ball,ball,banana_pellet,stick,apple,stick,no
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,2.0,tsqat,stick,ball,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,3.0,tsqat,ball,stick,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,4.0,tsqat,stick,ball,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,5.0,tsqat,ball,stick,stick,apple,ball,banana_pellet,stick,no
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,6.0,tsqat,ball,stick,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,7.0,tsqat,ball,stick,ball,banana_pellet,stick,apple,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,8.0,tsqat,stick,ball,ball,apple,stick,banana_pellet,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,9.0,tsqat,stick,ball,stick,apple,ball,banana_pellet,ball,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,10.0,tsqat,ball,stick,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,11.0,tsqat,stick,ball,stick,banana_pellet,ball,apple,stick,yes
laumer2019orangutans,5,tol_sel_qual_alloc,2015,4,28,dokana,26,f,orangutan,1.0,12.0,tsqat,ball,stick,stick,apple,ball,banana_pellet,ball,yes
