"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – exchanger (summary of the total amount of tokens the participant exchanges on a session)/ observed (trial by trial data showing how many tokens the observer observes the observed participant exchange)"
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – observer "
"dyad","name of the two participants that compose the pairing of recorded observed and exchanger – however data was collected in groups not dyads"
"species","species of individuals participating in the study - chimpanzee"
"day","day of the month the data point was obtained "
"white","number of white tokens the exchanged in one day (when role = exchanger) or number of white tokens the observer observes another individual exchanging (when role2 = observer) "
"brown","number of brown tokens the exchanged in one day (when role = exchanger) or number of brown tokens the observer observes another individual exchanging (when role2 = observer) "
