study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,order,trained_token,stooge_token,demonstrations_observed,green_choice,blue_choice,grey_choice,trained,observed,random,choice
leeuwen2017conservatism,2015,11,10,dorien,35,f,chimpanzee,1,9,test,1,green,blue,8,0,1,0,0,0,1,random
leeuwen2017conservatism,2015,10,31,frodo,21,m,chimpanzee,1,10,control,1,green,blue,6,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,2,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,3,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,4,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,5,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,6,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,7,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,9,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,2,kara,10,f,chimpanzee,1,10,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,3,kara,10,f,chimpanzee,2,11,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,3,kara,10,f,chimpanzee,2,12,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,3,kara,10,f,chimpanzee,2,15,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,3,kara,10,f,chimpanzee,2,16,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,3,kara,10,f,chimpanzee,2,20,control,1,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,6,kara,10,f,chimpanzee,1,10,test,1,blue,grey,10,1,0,0,0,0,1,random
leeuwen2017conservatism,2015,11,3,kofi,10,m,chimpanzee,1,3,test,2,blue,green,10,0,0,1,0,0,1,random
leeuwen2017conservatism,2015,11,9,kofi,10,m,chimpanzee,1,1,control,2,blue,grey,10,1,0,0,0,0,1,random
leeuwen2017conservatism,2015,11,9,kofi,10,m,chimpanzee,1,4,control,2,blue,grey,10,1,0,0,0,0,1,random
leeuwen2017conservatism,2015,11,9,kofi,10,m,chimpanzee,1,8,control,2,blue,grey,10,1,0,0,0,0,1,random
leeuwen2017conservatism,2015,11,2,lobo,11,m,chimpanzee,2,11,test,2,grey,green,10,0,1,0,0,0,1,random
leeuwen2017conservatism,2015,11,1,lome,14,m,chimpanzee,2,12,control,1,grey,blue,10,1,0,0,0,0,1,random
leeuwen2017conservatism,2015,11,5,riet,38,f,chimpanzee,1,1,control,2,blue,grey,10,1,0,0,0,0,1,random
leeuwen2017conservatism,2015,11,5,riet,38,f,chimpanzee,1,2,control,2,blue,grey,10,1,0,0,0,0,1,random
