study_id,participant,age_in_years,sex,species,session,condition,sequence,retrieval_session,delay,food,search,binary_search,latency_in_seconds
lewis2017non,alex,13,m,chimpanzee,1,experimental,experimental,1,2,pellet,yes,1,35
lewis2017non,alex,13,m,chimpanzee,2,experimental,experimental,2,2,pellet,yes,1,2
lewis2017non,alex,13,m,chimpanzee,3,control,experimental,1,2,bread,no,0,
lewis2017non,alex,13,m,chimpanzee,4,control,experimental,2,2,bread,no,0,
lewis2017non,alexandra,15,f,chimpanzee,1,experimental,experimental,1,2,bread,no,0,
lewis2017non,alexandra,15,f,chimpanzee,2,experimental,experimental,2,2,bread,no,0,
lewis2017non,alexandra,15,f,chimpanzee,3,control,experimental,1,2,pellet,no,0,
lewis2017non,alexandra,15,f,chimpanzee,4,control,experimental,2,2,pellet,no,0,
lewis2017non,bimbo,33,m,orangutan,1,control,control,1,50,pellet,no,0,
lewis2017non,bimbo,33,m,orangutan,2,control,control,2,50,pellet,no,0,
lewis2017non,bimbo,33,m,orangutan,3,experimental,control,1,50,bread,yes,1,96
lewis2017non,bimbo,33,m,orangutan,4,experimental,control,2,50,bread,no,0,
lewis2017non,corry,37,f,chimpanzee,1,experimental,experimental,1,50,pellet,no,0,
lewis2017non,corry,37,f,chimpanzee,2,experimental,experimental,2,50,pellet,no,0,
lewis2017non,corry,37,f,chimpanzee,3,control,experimental,1,50,bread,no,0,
lewis2017non,corry,37,f,chimpanzee,4,control,experimental,2,50,bread,no,0,
lewis2017non,daza,28,f,chimpanzee,1,experimental,experimental,1,10,bread,no,0,
lewis2017non,daza,28,f,chimpanzee,2,experimental,experimental,2,10,bread,no,0,
lewis2017non,daza,28,f,chimpanzee,3,control,experimental,1,10,pellet,no,0,
lewis2017non,daza,28,f,chimpanzee,4,control,experimental,2,10,pellet,no,0,
lewis2017non,dokana,25,f,orangutan,1,experimental,experimental,1,50,pellet,yes,1,14
lewis2017non,dokana,25,f,orangutan,2,experimental,experimental,2,50,pellet,no_data,,
lewis2017non,dorien,34,f,chimpanzee,1,control,control,1,2,bread,no,0,
lewis2017non,dorien,34,f,chimpanzee,2,control,control,2,2,bread,no,0,
lewis2017non,dorien,34,f,chimpanzee,3,experimental,control,1,2,pellet,no,0,
lewis2017non,dorien,34,f,chimpanzee,4,experimental,control,2,2,pellet,no,0,
lewis2017non,fimi,6,f,bonobo,1,experimental,experimental,1,50,bread,no,0,
lewis2017non,fimi,6,f,bonobo,2,experimental,experimental,2,50,bread,no,0,
lewis2017non,fimi,6,f,bonobo,3,control,experimental,1,50,pellet,no,0,
lewis2017non,fimi,6,f,bonobo,4,control,experimental,2,50,pellet,no,0,
lewis2017non,fraukje,38,f,chimpanzee,1,experimental,experimental,1,50,bread,no,0,
lewis2017non,fraukje,38,f,chimpanzee,2,experimental,experimental,2,50,bread,no,0,
lewis2017non,fraukje,38,f,chimpanzee,3,control,experimental,1,50,pellet,no,0,
lewis2017non,fraukje,38,f,chimpanzee,4,control,experimental,2,50,pellet,no,0,
lewis2017non,frederike,41,f,chimpanzee,1,experimental,experimental,1,2,pellet,yes,1,11
lewis2017non,frederike,41,f,chimpanzee,2,experimental,experimental,2,2,pellet,yes,1,16
lewis2017non,frederike,41,f,chimpanzee,3,control,experimental,1,2,bread,yes,1,22
lewis2017non,frederike,41,f,chimpanzee,4,control,experimental,2,2,bread,yes,1,26
lewis2017non,frodo,21,m,chimpanzee,1,control,control,1,50,bread,no,0,
lewis2017non,frodo,21,m,chimpanzee,2,control,control,2,50,bread,no,0,
lewis2017non,frodo,21,m,chimpanzee,3,experimental,control,1,50,pellet,no,0,
lewis2017non,frodo,21,m,chimpanzee,4,experimental,control,2,50,pellet,no,0,
lewis2017non,gemena,9,f,bonobo,1,control,control,1,50,bread,no,0,
lewis2017non,gemena,9,f,bonobo,2,control,control,2,50,bread,no,0,
lewis2017non,gemena,9,f,bonobo,3,experimental,control,1,50,pellet,no,0,
lewis2017non,gemena,9,f,bonobo,4,experimental,control,2,50,pellet,no,0,
lewis2017non,jahaga,22,f,chimpanzee,3,control,experimental,1,50,bread,no,0,
lewis2017non,jahaga,22,f,chimpanzee,4,control,experimental,2,50,bread,no,0,
lewis2017non,jasongo,24,m,bonobo,1,control,control,1,10,bread,no,0,
lewis2017non,jasongo,24,m,bonobo,2,control,control,2,10,bread,no,0,
lewis2017non,jasongo,24,m,bonobo,3,experimental,control,1,10,pellet,no,0,
lewis2017non,jasongo,24,m,bonobo,4,experimental,control,2,10,pellet,no_data,,
lewis2017non,jeudi,49,f,chimpanzee,1,experimental,experimental,1,10,bread,no,0,
lewis2017non,jeudi,49,f,chimpanzee,2,experimental,experimental,2,10,bread,no,0,
lewis2017non,jeudi,49,f,chimpanzee,3,control,experimental,1,10,pellet,no,0,
lewis2017non,jeudi,49,f,chimpanzee,4,control,experimental,2,10,pellet,no,0,
lewis2017non,joey,32,m,bonobo,1,control,control,1,2,bread,no,0,
lewis2017non,joey,32,m,bonobo,2,control,control,2,2,bread,no,0,
lewis2017non,kara,9,f,chimpanzee,1,experimental,experimental,1,10,pellet,yes,1,7
lewis2017non,kara,9,f,chimpanzee,2,experimental,experimental,2,10,pellet,yes,1,45
lewis2017non,kara,9,f,chimpanzee,3,control,experimental,1,10,bread,yes,1,3
lewis2017non,kara,9,f,chimpanzee,4,control,experimental,2,10,bread,yes,1,159
lewis2017non,lexi,15,f,bonobo,1,control,control,1,10,pellet,no,0,
lewis2017non,lexi,15,f,bonobo,2,control,control,2,10,pellet,no,0,
lewis2017non,lexi,15,f,bonobo,3,experimental,control,1,10,bread,yes,1,237
lewis2017non,lexi,15,f,bonobo,4,experimental,control,2,10,bread,yes,1,102
lewis2017non,lobo,13,m,chimpanzee,1,experimental,experimental,1,50,bread,yes,1,7
lewis2017non,lobo,13,m,chimpanzee,2,experimental,experimental,2,50,bread,yes,1,4
lewis2017non,lobo,13,m,chimpanzee,3,control,experimental,1,50,pellet,yes,1,6
lewis2017non,lobo,13,m,chimpanzee,4,control,experimental,2,50,pellet,yes,1,4
lewis2017non,lome,13,m,chimpanzee,1,experimental,experimental,1,10,pellet,yes,1,8
lewis2017non,lome,13,m,chimpanzee,2,experimental,experimental,2,10,pellet,yes,1,63
lewis2017non,lome,13,m,chimpanzee,3,control,experimental,1,10,bread,yes,1,12
lewis2017non,lome,13,m,chimpanzee,4,control,experimental,2,10,bread,yes,1,5
lewis2017non,luiza,9,f,bonobo,1,control,control,1,2,bread,no,0,
lewis2017non,luiza,9,f,bonobo,2,control,control,2,2,bread,no,0,
lewis2017non,luiza,9,f,bonobo,3,experimental,control,1,2,pellet,no,0,
lewis2017non,luiza,9,f,bonobo,4,experimental,control,2,2,pellet,no,0,
lewis2017non,natascha,34,f,chimpanzee,1,control,control,1,10,bread,no,0,
