"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"session","set of trials -  combination of condition/ sequence/and retrieval_session"
"condition","whether the participants witnessed a hiding event of the food before the retrieval session -  experimental (witnessed) / control (did not witness)"
"sequence","first condition presented to each participant -  experimental / control"
"retrieval_session","two session in which the participant could retrieve the food with the presence of the experimenter, who either hid the food or did not hide it – 1= did not hide / 2 = hid "
"delay","delay period in weeks between hiding event and retrieval sessions – 2 / 10 / 50 "
"food","type of food that was hidden during the hiding event– pellet (cardamom) / bread "
"search","whether the participant searched for the food or not - yes / no"
"binary_search","whether the participant searched for the food in binary – 1 = yes / 0 = no"
"latency_in_seconds","the time in seconds it took the participant from picking up the food from the ground to reaching the hiding location"
