study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,housing,code_sticktransfer,condition,exp_contr,towexp_comm,towexpstress,towhelpcomm,towhelpstress
liebal2014does,sallie,9.5,f,helper,mercedes,9.0,f,victim,orangutan,sallie_mercedes,sanctuary,0,take,1,4.0,0.0,0.0,1.0
liebal2014does,sallie,9.5,f,helper,mercedes,9.0,f,victim,orangutan,sallie_mercedes,sanctuary,0,give,1,3.0,0.0,0.0,1.0
liebal2014does,sallie,9.5,f,helper,mercedes,9.0,f,victim,orangutan,sallie_mercedes,sanctuary,0,control_1_no_food,0,,,,
liebal2014does,sallie,9.5,f,helper,mercedes,9.0,f,victim,orangutan,sallie_mercedes,sanctuary,0,control_2_no_victim,0,,,,
liebal2014does,roland,7.0,m,helper,edwin,8.5,m,victim,orangutan,roland_edwin,sanctuary,0,take,1,4.0,0.0,0.0,0.0
liebal2014does,roland,7.0,m,helper,edwin,8.5,m,victim,orangutan,roland_edwin,sanctuary,0,give,1,1.0,0.0,2.0,2.0
liebal2014does,roland,7.0,m,helper,edwin,8.5,m,victim,orangutan,roland_edwin,sanctuary,0,control_1_no_food,0,,,,
liebal2014does,roland,7.0,m,helper,edwin,8.5,m,victim,orangutan,roland_edwin,sanctuary,0,control_2_no_victim,0,,,,
liebal2014does,yasmin,8.0,f,helper,roland,7.0,m,victim,orangutan,yasmin_roland,sanctuary,0,take,1,3.0,0.0,0.0,1.0
liebal2014does,yasmin,8.0,f,helper,roland,7.0,m,victim,orangutan,yasmin_roland,sanctuary,0,give,1,0.0,0.0,1.0,0.0
liebal2014does,yasmin,8.0,f,helper,roland,7.0,m,victim,orangutan,yasmin_roland,sanctuary,0,control_1_no_food,0,,,,
liebal2014does,yasmin,8.0,f,helper,roland,7.0,m,victim,orangutan,yasmin_roland,sanctuary,0,control_2_no_victim,0,,,,
liebal2014does,galih,6.0,f,helper,ulin,11.0,f,victim,orangutan,galih_ulin,sanctuary,1,take,1,6.0,1.0,0.0,2.0
liebal2014does,galih,6.0,f,helper,ulin,11.0,f,victim,orangutan,galih_ulin,sanctuary,0,give,1,2.0,0.0,0.0,0.0
liebal2014does,galih,6.0,f,helper,ulin,11.0,f,victim,orangutan,galih_ulin,sanctuary,0,control_1_no_food,0,,,,
liebal2014does,galih,6.0,f,helper,ulin,11.0,f,victim,orangutan,galih_ulin,sanctuary,0,control_2_no_victim,0,,,,
