"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – helper "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – victim "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"dyad","name of the two participants that compose the dyad "
"housing","captive holding facilities (zoo or sanctuary)"
"code_sticktransfer","Occurrence of stick transfer from helper to victim: 0 = no/ 1=yes"
"conditionrecoded","Harm (= Take condition in publication)/ Neutral (= Give condition in publication)/ Cont1 = helper there but no food/ Cont2 = no victim there food there)"
"exp_contr","Experimental condition (Harm or Neutral)=1/ Control conditions (Cont1 or Cont2)=0"
"towexp_comm","TowExp_Comm/ Requesting behaviors directed towards Experimenter during 30 s"
"towexpstress","victims’ behaviors that would indicate any arousal during the observation phase of the Take or Give condition while interacting with E during 30 s"
"towhelpcomm","Requesting behaviors directed towards helper in the prosocial phases of the Take and Give conditions during 3 min"
"towhelpstress","victims’ behaviors that would indicate any arousal during the prosocial phase that followed the Take and Give conditions during 3 min"
