study_id,participant,age_in_years,sex,species,trial,cond_order,target_point_in,target_point_on,control_point_in,control_point_on,unspecific_point_in,unspecific_point_on,distractor_point_in,distractor_point_on,target_point_phase_in,target_point_phase_on,target_point_in_lat,target_point_on_lat
liszkowski2009prelinguistic,corry,30.0,f,chimpanzee,1,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,fraukje,31.0,f,chimpanzee,1,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,test_phase_before_initiation_of_control,,
liszkowski2009prelinguistic,swela,12.0,f,chimpanzee,1,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,test_phase_before_initiation_of_control,0.0,,
liszkowski2009prelinguistic,natascha,27.0,f,chimpanzee,1,in_first,no_point,no_point,no_point,no_point,1.0,0.0,0.0,0.0,test_phase_before_motivational_cue_2,0.0,,
liszkowski2009prelinguistic,frodo,14.0,m,chimpanzee,1,in_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,robert,31.0,m,chimpanzee,1,on_first,point,no_point,,point,0.0,1.0,0.0,0.0,test_phase_before_motivational_cue_1,test_phase_before_motivational_cue_2,28.44,
liszkowski2009prelinguistic,lome,6.0,m,chimpanzee,1,in_first,point,no_point,,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_2,0.0,50.16,
liszkowski2009prelinguistic,patrick,10.0,m,chimpanzee,1,on_first,point,no_point,,point,0.0,1.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,28.4,
liszkowski2009prelinguistic,dorien,27.0,f,chimpanzee,1,on_first,no_point,no_point,no_point,no_point,0.0,0.0,1.0,1.0,0.0,0.0,,
liszkowski2009prelinguistic,gertrudia,14.0,f,chimpanzee,1,on_first,point,no_point,,point,0.0,3.0,0.0,0.0,0.0,0.0,24.52,
liszkowski2009prelinguistic,pia,8.0,f,chimpanzee,1,in_first,point,no_point,,point,0.0,1.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,51.64,
liszkowski2009prelinguistic,riet,30.0,f,chimpanzee,1,in_first,point,no_point,,point,0.0,3.0,0.0,0.0,test_phase_before_motivational_cue_2,0.0,38.36,
liszkowski2009prelinguistic,ulla,30.0,f,chimpanzee,1,in_first,no_point,no_point,no_point,point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,fifi,14.0,f,chimpanzee,1,in_first,point,point,,,1.0,1.0,0.0,0.0,0.0,0.0,14.32,74.84
liszkowski2009prelinguistic,sandra,14.0,f,chimpanzee,1,in_first,point,no_point,,point,0.0,0.0,0.0,3.0,0.0,0.0,105.8,
liszkowski2009prelinguistic,jahaga,14.0,f,chimpanzee,1,on_first,point,point,,,0.0,7.0,0.0,1.0,0.0,0.0,3.0,47.92
liszkowski2009prelinguistic,corry,30.0,f,chimpanzee,1r,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,fraukje,31.0,f,chimpanzee,1r,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,test_phase_before_motivational_cue_1,,
liszkowski2009prelinguistic,swela,12.0,f,chimpanzee,1r,on_first,no_point,no_point,no_point,point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,natascha,27.0,f,chimpanzee,1r,in_first,no_point,no_point,no_point,no_point,0.0,1.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,frodo,14.0,m,chimpanzee,1r,in_first,no_point,no_point,point,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,robert,31.0,m,chimpanzee,1r,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,lome,6.0,m,chimpanzee,1r,in_first,point,no_point,,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,19.52,
liszkowski2009prelinguistic,patrick,10.0,m,chimpanzee,1r,on_first,point,no_point,,point,0.0,1.0,0.0,0.0,test_phase_before_motivational_cue_1,test_phase_before_motivational_cue_1,35.8,
liszkowski2009prelinguistic,dorien,27.0,f,chimpanzee,1r,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,gertrudia,14.0,f,chimpanzee,1r,on_first,point,point,,,0.0,2.0,0.0,0.0,0.0,0.0,1.44,30.68
liszkowski2009prelinguistic,pia,8.0,f,chimpanzee,1r,in_first,point,no_point,,point,0.0,0.0,0.0,0.0,0.0,0.0,8.16,
liszkowski2009prelinguistic,riet,30.0,f,chimpanzee,1r,in_first,point,no_point,,point,1.0,2.0,0.0,1.0,test_phase_before_motivational_cue_1,0.0,12.96,
liszkowski2009prelinguistic,ulla,30.0,f,chimpanzee,1r,in_first,no_point,no_point,no_point,point,2.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,fifi,14.0,f,chimpanzee,1r,in_first,point,point,,,1.0,1.0,0.0,0.0,0.0,0.0,4.8,49.52
liszkowski2009prelinguistic,sandra,14.0,f,chimpanzee,1r,in_first,point,no_point,,point,0.0,0.0,0.0,3.0,0.0,0.0,59.76,
liszkowski2009prelinguistic,jahaga,14.0,f,chimpanzee,1r,on_first,point,no_point,,point,0.0,3.0,0.0,0.0,0.0,0.0,1.48,
liszkowski2009prelinguistic,corry,30.0,f,chimpanzee,2,on_first,no_point,no_point,no_point,point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,fraukje,31.0,f,chimpanzee,2,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,swela,12.0,f,chimpanzee,2,on_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,natascha,27.0,f,chimpanzee,2,in_first,no_point,no_point,no_point,point,0.0,2.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,frodo,14.0,m,chimpanzee,2,in_first,no_point,no_point,no_point,no_point,0.0,0.0,0.0,0.0,0.0,0.0,,
liszkowski2009prelinguistic,robert,31.0,m,chimpanzee,2,on_first,no_point,no_point,no_point,no_point,0.0,1.0,0.0,0.0,test_phase_before_motivational_cue_1,0.0,,
liszkowski2009prelinguistic,lome,6.0,m,chimpanzee,2,in_first,no_point,no_point,no_point,point,0.0,0.0,0.0,0.0,0.0,0.0,,
