"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical/ r indicates a repetition trial"
"cond_order","the order of the two conditions "
"target_point_in","target point in the occluded condition"
"target_point_on","target point in the absent condition"
"control_point_in","point during motivational control trial to the visible object in the occluded condition"
"control_point_on","point during motivational control trial to the visible object in the absent condition"
"unspecific_point_in","unspecified (not specified which of the two referents was intended) point to the middle of the locations in the occluded condition"
"unspecific_point_on","unspecified (not specified which of the two referents was intended) point to the middle of the locations in the absent condition"
"distractor_point_in","distractor point to the location with irrelevant material in the occluded condition"
"distractor_point_on","distractor point to the location with irrelevant material in the absent condition"
"target_point_phase_in","the phase during the test in which a target point occurred in the occluded condition"
"target_point_phase_on","the phase during the test in which a target point occurred in the absent condition"
"target_point_in_lat","the latency (in sec) it took to a target point in the occluded condition"
"target_point_on_lat","the latency (in sec) it took to a target point in the absent condition"
