study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,correct,tool_set,transport,transport_tools,use,use_tools,present,comments
manrique2010great,1,2007,1,29,fifi,14.0,13.0,f,chimpanzee,1.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,1,29,fifi,14.0,13.0,f,chimpanzee,2.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,1,29,fifi,14.0,13.0,f,chimpanzee,3.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,1,30,fifi,14.0,13.0,f,chimpanzee,1.0,string,yes,2.0,a+b,metal_U-shaped+grey_cord,a,metal_U-shaped,,
manrique2010great,1,2007,1,30,fifi,14.0,13.0,f,chimpanzee,2.0,string,yes,2.0,a+b,metal_U-shaped+grey_cord,a,metal_U-shaped,,
manrique2010great,1,2007,1,30,fifi,14.0,13.0,f,chimpanzee,3.0,string,yes,2.0,a+b+c,metal_U-shaped+grey_cord+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2007,2,1,fifi,14.0,13.0,f,chimpanzee,1.0,string,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2007,2,1,fifi,14.0,13.0,f,chimpanzee,2.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,1,fifi,14.0,13.0,f,chimpanzee,3.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,6,fifi,14.0,13.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,6,fifi,14.0,13.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,6,fifi,14.0,13.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,7,fifi,14.0,13.0,f,chimpanzee,1.0,cane,no,1.0,c,string_cane_pieces_c,c,string_cane_pieces_c,,
manrique2010great,1,2007,2,7,fifi,14.0,13.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,7,fifi,14.0,13.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,8,fifi,14.0,13.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,8,fifi,14.0,13.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,8,fifi,14.0,13.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,9,fifi,14.0,13.0,f,chimpanzee,1.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2007,2,9,fifi,14.0,13.0,f,chimpanzee,2.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2007,2,9,fifi,14.0,13.0,f,chimpanzee,3.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2007,2,13,fifi,14.0,13.0,f,chimpanzee,1.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,13,fifi,14.0,13.0,f,chimpanzee,2.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,13,fifi,14.0,13.0,f,chimpanzee,3.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,16,fifi,14.0,13.0,f,chimpanzee,1.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,2,16,fifi,14.0,13.0,f,chimpanzee,2.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,2,16,fifi,14.0,13.0,f,chimpanzee,3.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,25,fraukje,31.0,30.0,f,chimpanzee,1.0,string,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2006,8,25,fraukje,31.0,30.0,f,chimpanzee,2.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,8,25,fraukje,31.0,30.0,f,chimpanzee,3.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,8,26,fraukje,31.0,30.0,f,chimpanzee,1.0,string,no,1.0,b,blue_cord,b,blue_cord,,
manrique2010great,1,2006,8,26,fraukje,31.0,30.0,f,chimpanzee,2.0,string,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2006,8,26,fraukje,31.0,30.0,f,chimpanzee,3.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,8,28,fraukje,31.0,30.0,f,chimpanzee,1.0,string,yes,3.0,a+b,green_garden_wire+red_pvc_strip,a,green_garden_wire,,
manrique2010great,1,2006,8,28,fraukje,31.0,30.0,f,chimpanzee,2.0,string,yes,3.0,a+c,green_garden_wire+grey_felt,a,green_garden_wire,,
manrique2010great,1,2006,8,28,fraukje,31.0,30.0,f,chimpanzee,3.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,30,fraukje,31.0,30.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,30,fraukje,31.0,30.0,f,chimpanzee,2.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,8,30,fraukje,31.0,30.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,9,1,fraukje,31.0,30.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,9,1,fraukje,31.0,30.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,9,1,fraukje,31.0,30.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,9,2,fraukje,31.0,30.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,9,2,fraukje,31.0,30.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,9,2,fraukje,31.0,30.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,11,15,fraukje,31.0,30.0,f,chimpanzee,1.0,table,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2006,11,15,fraukje,31.0,30.0,f,chimpanzee,2.0,table,no,1.0,b,blue_cord,b,blue_cord,,
manrique2010great,1,2006,11,15,fraukje,31.0,30.0,f,chimpanzee,3.0,table,yes,1.0,a+b+c,grey_plastic+blue_cord+white_paper,a,grey_plastic,,
manrique2010great,1,2006,11,20,fraukje,31.0,30.0,f,chimpanzee,1.0,table,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2006,11,20,fraukje,31.0,30.0,f,chimpanzee,2.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,20,fraukje,31.0,30.0,f,chimpanzee,3.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,21,fraukje,31.0,30.0,f,chimpanzee,1.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,21,fraukje,31.0,30.0,f,chimpanzee,2.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,21,fraukje,31.0,30.0,f,chimpanzee,3.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,16,sandra,14.0,13.0,f,chimpanzee,1.0,string,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2006,8,16,sandra,14.0,13.0,f,chimpanzee,2.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,8,16,sandra,14.0,13.0,f,chimpanzee,3.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,8,19,sandra,14.0,13.0,f,chimpanzee,1.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,19,sandra,14.0,13.0,f,chimpanzee,2.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
