"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_original","age provided by author in data file "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","variable referring to the task presented to the participants –string/ cane/ table tasks"
"correct","variable referring to whether the participant chose the correct tool to retrieve the rewards"
"tool_set","variable referring to the tool set they experienced on each trial. For the string and table condition there were 3 different sets. For the cane condition there was only one set. Each set was comprised of three tools consisting of two unsuitable and one suitable tool for each task"
"transport","code for the tool(s) they transported from their initial location to the task location (codes a b or c for each of the tools within a set; for a combination of tools codes are summed (eg a+b))"
"transport_tools","variable referring to the specific tools they transported"
"use","code for the tool they used in the task location"
"use_tools","variable referring to the specific tool they used"
"present","another individual present but not participating – can be an infant or in rare cases an adult  "
"comments","notes by the author to highlight exceptions"
