study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,correct,tool_set,transport,transport_tools,use,use_tools,present,comments,drop_out
manrique2010great,3,2007,6,12,fifi,14.0,14.0,f,chimpanzee,1.0,tube,yes,2.0,a,green_cord,a,green_cord,,,no
manrique2010great,3,2007,6,12,fifi,14.0,14.0,f,chimpanzee,2.0,tube,yes,2.0,a,green_cord,a,green_cord,,,no
manrique2010great,3,2007,6,12,fifi,14.0,14.0,f,chimpanzee,3.0,tube,yes,2.0,a,green_cord,a,green_cord,,,no
manrique2010great,3,2007,6,13,fifi,14.0,14.0,f,chimpanzee,1.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,6,13,fifi,14.0,14.0,f,chimpanzee,2.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,6,13,fifi,14.0,14.0,f,chimpanzee,3.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,6,14,fifi,14.0,14.0,f,chimpanzee,1.0,tube,no,1.0,b,cupreous_pipe,b,cupreous_pipe,,,no
manrique2010great,3,2007,6,14,fifi,14.0,14.0,f,chimpanzee,2.0,tube,no,1.0,b,cupreous_pipe,b,cupreous_pipe,,,no
manrique2010great,3,2007,6,14,fifi,14.0,14.0,f,chimpanzee,3.0,tube,no,1.0,b,cupreous_pipe,b,cupreous_pipe,,,no
manrique2010great,3,2007,6,16,fifi,14.0,14.0,f,chimpanzee,1.0,tube,yes,4.0,a,beige_plastic_pipe,a,beige_plastic_pipe,,,no
manrique2010great,3,2007,6,16,fifi,14.0,14.0,f,chimpanzee,2.0,tube,yes,4.0,a,beige_plastic_pipe,a,beige_plastic_pipe,,,no
manrique2010great,3,2007,6,16,fifi,14.0,14.0,f,chimpanzee,3.0,tube,yes,4.0,a,beige_plastic_pipe,a,beige_plastic_pipe,,,no
manrique2010great,3,2007,7,5,fraukje,31.0,31.0,f,chimpanzee,1.0,tube,no,1.0,b+c,cupreous_pipe+black_wood,b,cupreous_pipe,,,no
manrique2010great,3,2007,7,5,fraukje,31.0,31.0,f,chimpanzee,2.0,tube,no,1.0,c,black_wood,c,black_wood,,,no
manrique2010great,3,2007,7,5,fraukje,31.0,31.0,f,chimpanzee,3.0,tube,yes,1.0,a+b+c,grey_taped_rope+cupreous_pipe+black_wood,a,grey_taped_rope,,,no
manrique2010great,3,2007,7,6,fraukje,31.0,31.0,f,chimpanzee,1.0,tube,yes,2.0,a,green_cord,a,green_cord,,,no
manrique2010great,3,2007,7,6,fraukje,31.0,31.0,f,chimpanzee,2.0,tube,no,2.0,c,wood_stick,c,wood_stick,,,no
manrique2010great,3,2007,7,6,fraukje,31.0,31.0,f,chimpanzee,3.0,tube,yes,2.0,a,green_cord,a,green_cord,,,no
manrique2010great,3,2007,7,7,fraukje,31.0,31.0,f,chimpanzee,1.0,tube,no,4.0,c,red_taped_wood,c,red_taped_wood,,,no
manrique2010great,3,2007,7,7,fraukje,31.0,31.0,f,chimpanzee,2.0,tube,no,4.0,b+c,white_plastic_stick+red_taped_wood,c,red_taped_wood,,,no
manrique2010great,3,2007,7,7,fraukje,31.0,31.0,f,chimpanzee,3.0,tube,no,4.0,b+c,white_plastic_stick+red_taped_wood,b,white_plastic_stick,,,no
manrique2010great,3,2007,7,8,fraukje,31.0,31.0,f,chimpanzee,1.0,tube,no,3.0,b+c,green_plant_stick+yellow_wood,b,green_plant_stick,,,no
manrique2010great,3,2007,7,8,fraukje,31.0,31.0,f,chimpanzee,2.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,7,8,fraukje,31.0,31.0,f,chimpanzee,3.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,7,5,sandra,14.0,14.0,f,chimpanzee,1.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,7,5,sandra,14.0,14.0,f,chimpanzee,2.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,7,5,sandra,14.0,14.0,f,chimpanzee,3.0,tube,yes,3.0,a,orange_cord,a,orange_cord,,,no
manrique2010great,3,2007,7,6,sandra,14.0,14.0,f,chimpanzee,1.0,tube,no,4.0,b+c,white_plastic_stick+red_taped_wood,b,white_plastic_stick,,,no
manrique2010great,3,2007,7,6,sandra,14.0,14.0,f,chimpanzee,2.0,tube,yes,4.0,a,beige_plastic_pipe,a,beige_plastic_pipe,,,no
manrique2010great,3,2007,7,6,sandra,14.0,14.0,f,chimpanzee,3.0,tube,no,4.0,c,red_taped_wood,c,red_taped_wood,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,2007,7,7,sandra,14.0,14.0,f,chimpanzee,1.0,tube,no,2.0,c,wood_stick,c,wood_stick,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,2007,7,7,sandra,14.0,14.0,f,chimpanzee,2.0,tube,no,2.0,c,wood_stick,c,wood_stick,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,2007,7,7,sandra,14.0,14.0,f,chimpanzee,3.0,tube,no,2.0,c,wood_stick,c,wood_stick,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,2007,7,8,sandra,14.0,14.0,f,chimpanzee,1.0,tube,no,1.0,b,cupreous_pipe,b,cupreous_pipe,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,2007,7,8,sandra,14.0,14.0,f,chimpanzee,2.0,tube,no,1.0,c,black_wood,c,black_wood,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,2007,7,8,sandra,14.0,14.0,f,chimpanzee,3.0,tube,no,1.0,b,cupreous_pipe,b,cupreous_pipe,,afraid_of_touching_correct_tools_in_task_or_during_familiarization,no
manrique2010great,3,,,,frodo,13.0,,m,chimpanzee,,,,,,,,,,did_not_pass_training,yes
manrique2010great,3,,,,bimbo,26.0,,m,orangutan,,,,,,,,,,did_not_pass_training,yes
manrique2010great,3,,,,ulla,30.0,,f,chimpanzee,,,,,,,,,,did_not_pass_training,yes
