study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,tooltype,suitability,modify,getsjuice,technic,modifiable,success,modif_cab,modif_lid
manrique2011spontaneous,1,2009,3,24,joey,26,m,bonobo,1.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,24,joey,26,m,bonobo,1.0,2.0,cable,functional,no,no,notry,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,24,joey,26,m,bonobo,1.0,3.0,cable,functional,no,no,notry,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,25,joey,26,m,bonobo,2.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,25,joey,26,m,bonobo,2.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,25,joey,26,m,bonobo,2.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,26,joey,26,m,bonobo,3.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,26,joey,26,m,bonobo,3.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,26,joey,26,m,bonobo,3.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,27,joey,26,m,bonobo,4.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,27,joey,26,m,bonobo,4.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,27,joey,26,m,bonobo,4.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,28,joey,26,m,bonobo,5.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,28,joey,26,m,bonobo,5.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,28,joey,26,m,bonobo,5.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,29,joey,26,m,bonobo,6.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,29,joey,26,m,bonobo,6.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,29,joey,26,m,bonobo,6.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,30,joey,26,m,bonobo,7.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,30,joey,26,m,bonobo,7.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,30,joey,26,m,bonobo,7.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,31,joey,26,m,bonobo,8.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,31,joey,26,m,bonobo,8.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,3,31,joey,26,m,bonobo,8.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,1,joey,26,m,bonobo,9.0,1.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,1,joey,26,m,bonobo,9.0,2.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,1,joey,26,m,bonobo,9.0,3.0,cable,functional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,2,joey,26,m,bonobo,10.0,1.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,2,joey,26,m,bonobo,10.0,2.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,2,joey,26,m,bonobo,10.0,3.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,4,joey,26,m,bonobo,11.0,1.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,4,joey,26,m,bonobo,11.0,2.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,4,joey,26,m,bonobo,11.0,3.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,6,joey,26,m,bonobo,12.0,1.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,6,joey,26,m,bonobo,12.0,2.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,6,joey,26,m,bonobo,12.0,3.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,15,joey,26,m,bonobo,13.0,1.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,15,joey,26,m,bonobo,13.0,2.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,15,joey,26,m,bonobo,13.0,3.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,16,joey,26,m,bonobo,14.0,1.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
manrique2011spontaneous,1,2009,4,16,joey,26,m,bonobo,14.0,2.0,cable,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no,
