"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study - chimpanzee/orangutan"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","different set of tools were presented to the participant - manipulation = participants were allowed to manipulate the tools freely before choosing one / observation - participants observed an experimenter manipulate the tools before choosing one "
"tool_set","set of tools set presented to the participants "
"tool_set_experience","whether participants had previous experience with the tools - 1 = naive = have not tried any tool in the apparatus / 2 = have already tried one of the tools in the previous tool_set trial "
"correct","whether the participant chose the straw-like tool"
"try","whether the participants used the tool at the apparatus"
