study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,tool_set,demonstration,correct,try
manrique2011spontaneous,4,2009,11,12,pini,21,f,orangutan,1.0,1.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,12,pini,21,f,orangutan,1.0,2.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,12,pini,21,f,orangutan,1.0,3.0,test,set_1,drinking,no,yes
manrique2011spontaneous,4,2009,11,12,pini,21,f,orangutan,1.0,4.0,test,set_1,drinking,yes,yes
manrique2011spontaneous,4,2009,11,12,pini,21,f,orangutan,1.0,5.0,test,set_2,bubbles,yes,yes
manrique2011spontaneous,4,2009,11,12,pini,21,f,orangutan,1.0,6.0,test,set_2,bubbles,yes,yes
manrique2011spontaneous,4,2009,11,13,pini,21,f,orangutan,2.0,1.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,13,pini,21,f,orangutan,2.0,2.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,13,pini,21,f,orangutan,2.0,3.0,test,set_3,kellogs,no,yes
manrique2011spontaneous,4,2009,11,13,pini,21,f,orangutan,2.0,4.0,test,set_3,kellogs,no,yes
manrique2011spontaneous,4,2009,11,13,pini,21,f,orangutan,2.0,5.0,test,set_4,stereofoam_blow,yes,yes
manrique2011spontaneous,4,2009,11,13,pini,21,f,orangutan,2.0,6.0,test,set_4,stereofoam_blow,no,yes
manrique2011spontaneous,4,2009,11,12,padana,11,f,orangutan,1.0,1.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,12,padana,11,f,orangutan,1.0,2.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,12,padana,11,f,orangutan,1.0,3.0,test,set_1,drinking,yes,yes
manrique2011spontaneous,4,2009,11,12,padana,11,f,orangutan,1.0,4.0,test,set_1,drinking,yes,yes
manrique2011spontaneous,4,2009,11,12,padana,11,f,orangutan,1.0,5.0,test,set_2,bubbles,yes,yes
manrique2011spontaneous,4,2009,11,12,padana,11,f,orangutan,1.0,6.0,test,set_2,bubbles,no,yes
manrique2011spontaneous,4,2009,11,13,padana,11,f,orangutan,2.0,1.0,warm_up,warm_up,,yes,yes
manrique2011spontaneous,4,2009,11,13,padana,11,f,orangutan,2.0,2.0,warm_up,warm_up,,yes,yes
