"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the ape participants - usually numerical "
"apparatus","type of apparatus used in a given session – 1(easiest) / 2/ 3(hardest)"
"start_time","the time the apparatus was baited – min’ sec”"
"end_time","the time the participant retrieved required number of grapes or when the session time elapsed – min’ sec”"
"finger","the number of times finger was used as the technique to retrieve the grape "
"lift","the number of times lifting was used as the technique to retrieve the grape "
"shoot","the number of times shooting was used as the technique to retrieve the grape "
"success_action","the technique with which the participant successfully retrieved the grapes - finger/ lift/ shoot / no success"
