"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"sex","sex of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"test_condition","phases of the experiment"
"condition","participants received two tasks-table= trap platform outside the cage /tube= trap tubes placed inside the cage"
"trap_side","location side of the trap "
"correct","whether they retrieved the reward"
"right_hand","whether the participant used the right hand"
"left_hand","whether the participant used the left hand"
"hand_success","hand with which the participant retrieved the reward "
"rake","whether the technique was used or not"
"push","whether the technique was used or not"
"twist","whether the technique was used or not "
"technique_success","techniques with which the participant retrieved the reward- rake=displace the reward toward the tools insertion point/ push = displace the reward away from the tools insertion point/ mixed = insert the tool from one side and pull it out from the other side"
"multiple_insertions","whether the participant inserted the tool multiple times"
