study_id,experiment,participant,age_in_years,sex,species,round,time,ice_cube,grape
martin2010keeping,1,kuno,11,m,bonobo,1,5 minutes,4.0,2.0
martin2010keeping,1,kuno,11,m,bonobo,1,1 hour,0.0,6.0
martin2010keeping,1,limbuko,12,m,bonobo,1,5 minutes,5.0,1.0
martin2010keeping,1,limbuko,12,m,bonobo,1,1 hour,1.0,5.0
martin2010keeping,1,jahaga,14,f,chimpanzee,1,5 minutes,5.0,1.0
martin2010keeping,1,jahaga,14,f,chimpanzee,1,1 hour,2.0,4.0
martin2010keeping,1,fifi,14,f,chimpanzee,1,5 minutes,5.0,1.0
martin2010keeping,1,fifi,14,f,chimpanzee,1,1 hour,5.0,1.0
martin2010keeping,1,dorien,27,f,chimpanzee,1,5 minutes,2.0,3.0
martin2010keeping,1,dorien,27,f,chimpanzee,1,1 hour,2.0,4.0
martin2010keeping,1,fraukje,31,f,chimpanzee,1,5 minutes,6.0,0.0
martin2010keeping,1,fraukje,31,f,chimpanzee,1,1 hour,6.0,0.0
martin2010keeping,1,alexandra,8,f,chimpanzee,1,5 minutes,6.0,0.0
martin2010keeping,1,alexandra,8,f,chimpanzee,1,1 hour,4.0,2.0
martin2010keeping,1,alex,6,m,chimpanzee,1,5 minutes,6.0,0.0
martin2010keeping,1,alex,6,m,chimpanzee,1,1 hour,6.0,0.0
martin2010keeping,1,lome,6,m,chimpanzee,1,5 minutes,2.0,3.0
martin2010keeping,1,lome,6,m,chimpanzee,1,1 hour,5.0,
martin2010keeping,1,dokana,18,f,orangutan,1,5 minutes,5.0,1.0
martin2010keeping,1,dokana,18,f,orangutan,1,1 hour,3.0,2.0
martin2010keeping,1,padana,10,f,orangutan,1,5 minutes,6.0,0.0
martin2010keeping,1,padana,10,f,orangutan,1,1 hour,6.0,0.0
martin2010keeping,1,pini,19,f,orangutan,1,5 minutes,6.0,0.0
martin2010keeping,1,pini,19,f,orangutan,1,1 hour,6.0,0.0
