study_id,experiment,experiment_name,participant,age_in_years,sex,species,group_original,experience,find_tools,solve_task,latency_approach_first_box,strategies,correct_location
martin2013memory,2,unique_event,frodo,19.0,m,chimpanzee,experimental,general_event_before_unique,1.0,1.0,28.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,sandra,19.0,f,chimpanzee,experimental,general_event_before_unique,1.0,1.0,29.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,lome,12.0,m,chimpanzee,experimental,general_event_before_unique,1.0,1.0,21.0,took_incorrect_tool_then_immediately_took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,dokana,23.0,f,orangutan,experimental,general_event_before_unique,1.0,1.0,28.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,pini,24.0,f,orangutan,experimental,general_event_before_unique,1.0,1.0,170.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,pia,13.0,f,chimpanzee,experimental,general_event_before_unique,1.0,1.0,10.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,tai,10.0,f,chimpanzee,experimental,unique_event_only,1.0,1.0,10.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,dorien,32.0,f,chimpanzee,experimental,unique_event_only,0.0,0.0,,,0.0
martin2013memory,2,unique_event,raja,9.0,f,orangutan,experimental,unique_event_only,1.0,1.0,19.0,took_incorrect_tool_then_immediately_took_and_used_correct_tool,0.0
martin2013memory,2,unique_event,lobo,8.0,m,chimpanzee,experimental,unique_event_only,1.0,1.0,4.0,took_and_used_correct_tool,1.0
martin2013memory,2,unique_event,bimbo,32.0,m,orangutan,control,general_event_only,0.0,,,,
martin2013memory,2,unique_event,padana,15.0,f,orangutan,control,general_event_only,0.0,,,,
martin2013memory,2,unique_event,alex,11.0,m,chimpanzee,control,general_event_only,0.0,,,,
martin2013memory,2,unique_event,jahaga,19.0,f,chimpanzee,control,general_event_only,0.0,,,,
martin2013memory,2,unique_event,gertrudia,19.0,f,chimpanzee,control,general_event_only,0.0,,,,
martin2013memory,2,unique_event,ulla,35.0,f,chimpanzee,control,general_event_only,0.0,,,,
martin2013memory,2,unique_event,fifi,19.0,f,chimpanzee,control,unique_event_only,0.0,,,,
martin2013memory,2,unique_event,kara,7.0,f,chimpanzee,control,unique_event_only,0.0,,,,
martin2013memory,2,unique_event,natascha,32.0,f,chimpanzee,control,unique_event_only,0.0,,,,
martin2013memory,2,unique_event,kofi,7.0,m,chimpanzee,control,unique_event_only,0.0,,,,
martin2013memory,2,unique_event,annett,13.0,f,chimpanzee,control,unique_event_only,0.0,,,,
