"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"participant","name of the participant"
"sex","sex of the participant"
"role","role of the participant – donor "
"participant_2","name of the participant_2"
"sex_2","sex of the participant_2"
"role_2","role of the participant of the participant_2 – communicator "
"species","species of individuals participating in the study -orangutan"
"dyad","name of the two participants that compose the dyad"
"phase","phases in which participants were paired- test- pared with same species /control-pared with experimenter"
"trial","presentation of the experiment to the participants - usually numerical"
"did_bimbo_point","whether bimbo pointed or not"
"was_point_accurate","whether the point accurately indicated the location of hidden reward"
"did_participants_respond_to_the_side_to_which_bimbo_pointed","whether the participants responded to the side Bimbo indicated "
"response_in_less_than_or_equal_to_10s","whether the response was within 10 seconds "
"comments","author provided notes- whether the answer had no application"
