"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"timestamp","precise time at which each data sample was recorded in ms"
"fixationduration","length of time that a participants gaze remains focused on a specific point or area of interest (in ms)"
"aoiids","unique identifier (ID) assigned to each area of interest (AOI)"
"aoinames","name assigned by researcher to a specific area of interest"
"fixmark","indicates whether a fixation is valid (true or false- according to the defined criteria)/ suggests that the gaze data is reliable"
"fixmarknew","refined fixmark after additional processing to enhance accuracy (true or false)"
"stimuliname","name of presented stimuli"
"picnumb","number of presented stimuli"
"fixationpointx","horizontal coordinate (X-axis) of the fixation point"
"fixationpointy","vertical coordinate Y-axis) of the fixation point"
