study_id,experiment,experiment_name,year,month,day,subject,participant,age_in_years,sex,species,session,trial,trial_id,session_time,block_order,block_order_codes,block,fixation_rt,image_left,image_right,mask_rt_incl_buffer,reward,selected_picture
munar2015common,4,until_response,2013,06,14,1.0,gertrudia,20,f,chimpanzee,1.0,1.0,,08:51:13,2.0,Block_2-Block_1,training,28746.0,control_acordion.bmp,control_cherry.bmp,1153.0,1.0,right
munar2015common,4,until_response,2013,06,14,2.0,jahaga,20,f,chimpanzee,1.0,1.0,,09:11:41,2.0,Block_2-Block_1,training,3187.0,control_acorn.bmp,control_chili.bmp,761.0,1.0,left
munar2015common,4,until_response,2013,06,14,3.0,fifi,20,f,chimpanzee,1.0,1.0,,09:28:00,2.0,Block_2-Block_1,training,5120.0,control_cane.bmp,control_leaf.bmp,734.0,1.0,left
munar2015common,4,until_response,2013,06,14,4.0,alex,12,m,chimpanzee,1.0,1.0,,09:44:42,2.0,Block_2-Block_1,training,514.0,control_acordion.bmp,control_cherry.bmp,588.0,1.0,left
munar2015common,4,until_response,2013,08,07,5.0,lome,11,m,chimpanzee,1.0,1.0,,10:22:37,1.0,Block_1-Block_2,training,5286.0,control_barrell.bmp,control_harp.bmp,988.0,1.0,left
munar2015common,4,until_response,2013,08,07,6.0,kofi,8,m,chimpanzee,1.0,1.0,,09:45:24,2.0,Block_2-Block_1,training,10893.0,control_bowtiepasta.bmp,control_icecream.bmp,947.0,1.0,right
munar2015common,4,until_response,2013,08,07,7.0,lobo,9,m,chimpanzee,1.0,1.0,,10:04:07,2.0,Block_2-Block_1,training,500.0,control_cane.bmp,control_leaf.bmp,704.0,1.0,left
munar2015common,4,until_response,2013,09,11,8.0,kibara,9,f,gorilla,1.0,1.0,,08:54:42,1.0,Block_1-Block_2,training,58.0,control_barrell.bmp,control_harp.bmp,1980.0,1.0,left
munar2015common,4,until_response,2013,09,11,9.0,viringika,18,f,gorilla,1.0,1.0,,09:12:41,2.0,Block_2-Block_1,training,1741.0,control_africanmask.bmp,control_feather.bmp,5427.0,1.0,left
munar2015common,4,until_response,2013,06,14,1.0,gertrudia,20,f,chimpanzee,1.0,2.0,,08:51:13,2.0,Block_2-Block_1,training,2074.0,control_anchor.bmp,control_fork.bmp,2002.0,0.0,left
munar2015common,4,until_response,2013,06,14,2.0,jahaga,20,f,chimpanzee,1.0,2.0,,09:11:41,2.0,Block_2-Block_1,training,1358.0,control_bowtiepasta.bmp,control_icecream.bmp,571.0,0.0,right
munar2015common,4,until_response,2013,06,14,3.0,fifi,20,f,chimpanzee,1.0,2.0,,09:28:00,2.0,Block_2-Block_1,training,7051.0,control_acorn.bmp,control_chili.bmp,627.0,0.0,left
