study_id,year,month,day,participant,age_in_years,sex,species,trial,left,right,choice,notes,comment
parron2008behavioural,2006,5,15,ulla,28.0,f,chimpanzee,1,banana,photo_banana,banana,,
parron2008behavioural,2006,5,15,ulla,28.0,f,chimpanzee,2,photo_banana,pebble,photo_banana,,
parron2008behavioural,2006,5,15,ulla,28.0,f,chimpanzee,3,photo_pebble,photo_banana,photo_banana,took_it_touched_it_with_mouth_smelt_it,
parron2008behavioural,2006,5,15,ulla,28.0,f,chimpanzee,4,photo_banana,photo_pebble,photo_pebble,did_not_take_it,
parron2008behavioural,2006,5,15,riet,28.0,f,chimpanzee,1,banana,photo_banana,banana,,
parron2008behavioural,2006,5,15,riet,28.0,f,chimpanzee,2,pebble,photo_banana,/,did_not_point,
parron2008behavioural,2006,5,15,riet,28.0,f,chimpanzee,3,photo_pebble,photo_banana,/,did_not_point,
parron2008behavioural,2006,5,15,riet,28.0,f,chimpanzee,4,photo_banana,photo_pebble,/,did_not_point,
parron2008behavioural,2006,5,15,robert,30.0,m,chimpanzee,1,photo_banana,banana,banana,did_not_point,
parron2008behavioural,2006,5,15,robert,30.0,m,chimpanzee,2,pebble,photo_banana,/,did_not_point,
parron2008behavioural,2006,5,15,robert,30.0,m,chimpanzee,3,photo_banana,photo_pebble,/,did_not_point,
parron2008behavioural,2006,5,15,robert,30.0,m,chimpanzee,4,photo_banana,photo_pebble,/,did_not_point,
parron2008behavioural,2006,5,15,natascha,26.0,f,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,natascha,26.0,f,chimpanzee,2,pebble,photo_banana,photo_banana,,
parron2008behavioural,2006,5,15,natascha,26.0,f,chimpanzee,3,photo_banana,photo_pebble,photo_pebble,did_not_take_it,
parron2008behavioural,2006,5,15,natascha,26.0,f,chimpanzee,4,photo_banana,photo_pebble,photo_banana,did_not_take_it_just_touched_it,
parron2008behavioural,2006,5,15,sandra,12.0,f,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,sandra,12.0,f,chimpanzee,2,photo_banana,pebble,photo_banana,,
parron2008behavioural,2006,5,15,sandra,12.0,f,chimpanzee,3,photo_banana,photo_pebble,photo_pebble,smelt_it_took_it_with_mouth_spit_it_out,
parron2008behavioural,2006,5,15,sandra,12.0,f,chimpanzee,4,photo_pebble,photo_banana,photo_pebble,did_not_take_it_just_smelt_it,mistake!_did_it_right_after_the_third_test_then_i_did_3_times_galet-banane_choice_and_then_this_test_again.
parron2008behavioural,2006,5,15,sandra,12.0,f,chimpanzee,5,photo_pebble,photo_banana,photo_banana,took_it_and_threw_it_away_very_angry,
parron2008behavioural,2006,5,15,patrick,8.0,m,chimpanzee,1,banana,photo_banana,banana,,
parron2008behavioural,2006,5,15,patrick,8.0,m,chimpanzee,2,photo_banana,pebble,pebble,,
parron2008behavioural,2006,5,15,patrick,8.0,m,chimpanzee,3,photo_pebble,photo_banana,photo_banana,gave_it_in_mouth_smelt_it_in_mouth_droped_it_on_a_floor,
parron2008behavioural,2006,5,15,patrick,8.0,m,chimpanzee,4,photo_banana,photo_pebble,photo_pebble,did_not_take_it_just_touched_it,
parron2008behavioural,2006,5,15,fraukje,30.0,f,chimpanzee,1,banana,photo_banana,banana,,
parron2008behavioural,2006,5,15,fraukje,30.0,f,chimpanzee,2,pebble,photo_banana,pebble,,
parron2008behavioural,2006,5,15,fraukje,30.0,f,chimpanzee,3,photo_pebble,photo_banana,photo_pebble,took_it_and_droped_it_on_a_floor,
parron2008behavioural,2006,5,15,fraukje,30.0,f,chimpanzee,4,photo_banana,photo_pebble,photo_pebble,took_it_and_droped_it_on_a_floor,
parron2008behavioural,2006,5,15,pia,6.0,f,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,pia,6.0,f,chimpanzee,2,pebble,photo_banana,pebble,,
parron2008behavioural,2006,5,15,pia,6.0,f,chimpanzee,3,photo_banana,photo_pebble,photo_banana,took_it_smelt_it_touched_it_with_mouth_threw_it_away,
parron2008behavioural,2006,5,15,pia,6.0,f,chimpanzee,4,photo_banana,photo_pebble,photo_banana,took_it_droped_it,
parron2008behavioural,2006,5,15,dorien,25.0,f,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,dorien,25.0,f,chimpanzee,2,pebble,photo_banana,pebble,,
parron2008behavioural,2006,5,15,dorien,25.0,f,chimpanzee,3,photo_banana,photo_pebble,photo_banana,did_not_take_it_just_smelt_it,
parron2008behavioural,2006,5,15,dorien,25.0,f,chimpanzee,4,photo_banana,photo_pebble,/,did_not_point,
parron2008behavioural,2006,5,15,swela,10.0,f,chimpanzee,1,photo_banana,banana,banana,first_she_pointed_at_both_at_the_same_time,
parron2008behavioural,2006,5,15,swela,10.0,f,chimpanzee,2,photo_banana,pebble,/,did_not_point,
parron2008behavioural,2006,5,15,swela,10.0,f,chimpanzee,3,photo_banana,photo_pebble,photo_pebble,took_it_with_mouth_and_droped_it,
parron2008behavioural,2006,5,15,swela,10.0,f,chimpanzee,4,photo_pebble,photo_banana,/,did_not_point,
parron2008behavioural,2006,5,15,lome,4.0,m,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,lome,4.0,m,chimpanzee,2,photo_banana,pebble,photo_banana,,
parron2008behavioural,2006,5,15,lome,4.0,m,chimpanzee,3,photo_banana,photo_pebble,photo_banana,took_it_geve_it_in_the_mouth_smelt_it_and_gave_it_away,
parron2008behavioural,2006,5,15,lome,4.0,m,chimpanzee,4,photo_pebble,photo_banana,photo_banana,took_it_geve_it_in_the_mouth_smelt_it_and_gave_it_away,
parron2008behavioural,2006,5,15,corry,29.0,f,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,corry,29.0,f,chimpanzee,2,pebble,photo_banana,/,did_not_point,
parron2008behavioural,2006,5,15,corry,29.0,f,chimpanzee,3,photo_banana,photo_pebble,/,did_not_point,
parron2008behavioural,2006,5,15,corry,29.0,f,chimpanzee,4,photo_banana,photo_pebble,/,did_not_point,
parron2008behavioural,2006,5,15,frodo,12.0,m,chimpanzee,1,photo_banana,banana,banana,,
parron2008behavioural,2006,5,15,frodo,12.0,m,chimpanzee,2,pebble,photo_banana,pebble,,
parron2008behavioural,2006,5,15,frodo,12.0,m,chimpanzee,3,photo_banana,photo_pebble,photo_banana,first_he_pointed_at_galet_then_banane_and_then_again_banane_-_he_did_not_take_it,
parron2008behavioural,2006,5,15,frodo,12.0,m,chimpanzee,4,photo_banana,photo_pebble,photo_banana,he_did_not_take_it,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,p,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,p,,she_did_not_take_the_pebble_just_touched_it_with_her_tongue.
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,p,,she_did_not_take_the_pebble_just_touched_it_with_her_tongue.
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,1,banana,photo_banana,photo_banana,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,p,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,2,pebble,photo_banana,photo_banana,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,p,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,,i_left_this_trial_out_by_accident._sorry.,,,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,3,photo_pebble,photo_banana,photo_banana,,photo_in_the_mouth_then_smelled_it_put_it_in_the_mout_and_ate_it.
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,bianca,34,f,gorilla,4,photo_pebble,photo_banana,photo_banana,,she_ate_the_photo.
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,1,banana,photo_banana,banana,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,2,pebble,photo_banana,photo_banana,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,3,photo_banana,photo_pebble,photo_banana,,she_ate_the_photo.
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,hakuna,10,f,gorilla,4,photo_pebble,photo_banana,photo_banana,,she_put_it_in_the_mouth_then_smelled_it_licked_it_put_it_in_mouth_and_ate_it.
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,1,photo_banana,banana,photo_banana,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,2,pebble,photo_banana,pebble,,i_did_not_give_her_the_pebble.
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,3,photo_banana,photo_pebble,photo_banana,,she_ate_the_photo.
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,p,b,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,training,b,p,b,,
parron2008behavioural,2006,,,lena,29,f,gorilla,4,photo_banana,photo_pebble,photo_banana,,she_ate_the_photo.
