"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"all_trials","number of correct trials in the session/ empty columns = participant did not finish or did not participate"
"condition","pretest (preference test before the first test trial session)- participants were presented with one banana pellet and one carrot piece / test- participants were presented with two transparent buckets containing different populations of bananas (4:1) and carrots (1:4) in equal size where experimenter drew one item from each bucket"
"pref","food choice during preference test/ empty columns = participant did not finish or not participate. Note: 0 values in Zola entries are unknown"
"pref_side","side location of preferred items "
"decision","whether participant chose the sample coming from the correct population (the population that includes more of their preferred items)"
"side","participant response side - left or right"
"drop_out","participant drop out /not included in analyses"
