"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"sessions","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"lottery","whether condition (lottery) was applied"
"exchange","whether the participant exchanged initial food item or not"
"reward_obtained","whether size of the reward was obtained "
"visible_probability_of_gain","visible probability of receiving more food "
"real_probability_of_gain","real probability of receiving more food"
"cover_position","where the cover position was"
"number_large_visible_rewards","the number of visible large rewards (from 0 to 6)"
"level_of_information","the level of information- risky (participant could see all potential outcomes)/predictably advantageous (participants could not see but could infer that the covered cups contained large rewards)/ predictably disadvantageous (participants could not see but could infer that the covered cups contained small rewards)/ ambiguous (participants could not guess the exact probabilities associated with potential outcomes)"
"previous_rewards","size of the outcome received at the previous trial (big/medium/small-sized cracker or none in the case of the first trial of the session)"
