study_id,phase,experiment_name,year,participant,age_in_years,sex,species,summary_raw,session,sessions_to_criterion,species_subgroup,condition,correct_long_tool_choices,color,length,tot,mean,st_dv
sabbatini2012understanding,1,training_1,2009,alex,8,m,chimpanzee,raw_data,1,,b,transparent,6.0,,,,,
sabbatini2012understanding,1,training_1,2009,alex,8,m,chimpanzee,raw_data,2,,b,transparent,14.0,,,,,
sabbatini2012understanding,1,training_1,2009,alex,8,m,chimpanzee,raw_data,3,,b,transparent,17.0,,,,,
sabbatini2012understanding,1,training_1,2009,alexandra,10,f,chimpanzee,raw_data,1,,b,opaque,15.0,,,,,
sabbatini2012understanding,1,training_1,2009,alexandra,10,f,chimpanzee,raw_data,2,,b,opaque,15.0,,,,,
sabbatini2012understanding,1,training_1,2009,annett,10,f,chimpanzee,raw_data,1,,b,opaque,7.0,,,,,
sabbatini2012understanding,1,training_1,2009,annett,10,f,chimpanzee,raw_data,2,,b,opaque,18.0,,,,,
sabbatini2012understanding,1,training_1,2009,annett,10,f,chimpanzee,raw_data,3,,b,opaque,18.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,1,,a,opaque,6.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,2,,a,opaque,7.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,3,,a,opaque,9.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,4,,a,opaque,3.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,5,,a,opaque,5.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,6,,a,opaque,8.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,7,,a,opaque,16.0,,,,,
sabbatini2012understanding,1,training_1,2009,cammello,30,m,capuchin,raw_data,8,,a,opaque,17.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,1,,a,transparent,7.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,2,,a,transparent,4.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,3,,a,transparent,8.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,4,,a,transparent,7.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,5,,a,transparent,5.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,6,,a,transparent,16.0,,,,,
sabbatini2012understanding,1,training_1,2009,carlotta,24,f,capuchin,raw_data,7,,a,transparent,16.0,,,,,
sabbatini2012understanding,1,training_1,2009,fifi,16,f,chimpanzee,raw_data,1,,b,transparent,10.0,,,,,
sabbatini2012understanding,1,training_1,2009,fifi,16,f,chimpanzee,raw_data,2,,b,transparent,15.0,,,,,
sabbatini2012understanding,1,training_1,2009,fifi,16,f,chimpanzee,raw_data,3,,b,transparent,18.0,,,,,
sabbatini2012understanding,1,training_1,2009,gal,18,m,capuchin,raw_data,1,,a,transparent,5.0,,,,,
sabbatini2012understanding,1,training_1,2009,gal,18,m,capuchin,raw_data,2,,a,transparent,12.0,,,,,
