study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,phase,session,trial,type_trial,weight_kg,success,aver_r_kg,aver_l_kg,max_r_kg,max_l_kg,total_time_reach,first_pull,start_pull1_sec,diff_pull1_pull2_sec,totaltime_untilbothpull,weight_ratio,weight_ratio_pos,time_pull,both_one,dif_weights,dif_weights_abs,weight_ratio_pos_1,binom_weight_res
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,1,short,low,yes,12.98,6.23,26.2,9.35,3,corry,0.52,1.44,1.96,0.35137949,0.35137949,2.48,both,6.75,6.75,0.64862051,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,2,long,low,yes,7.55,7.59,17.4,11.7,3,corry,0.0,1.08,1.08,-0.002642008,0.002642008,3.0,both,-0.04,0.04,0.997357992,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,3,short,low,yes,10.5,8.08,168.0,13.7,3,corry,0.72,0.48,1.2,0.130247578,0.130247578,2.28,both,2.42,2.42,0.869752422,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,4,short,low,yes,11.3,6.35,23.4,9.5,4,corry,0.72,0.64,1.36,0.280453258,0.280453258,3.28,both,4.95,4.95,0.719546742,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,5,long,low,yes,12.12,7.86,18.85,14.2,3,corry,0.92,0.2,1.12,0.213213213,0.213213213,2.08,both,4.26,4.26,0.786786787,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,6,short,low,yes,10.18,10.4,16.45,16.05,3,corry,1.0,0.52,1.52,-0.01068999,0.01068999,2.0,both,-0.22,0.22,0.98931001,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,7,long,low,yes,12.25,6.28,18.75,10.1,4,corry,0.68,0.72,1.4,0.322180248,0.322180248,3.32,both,5.97,5.97,0.677819752,1.0
sanchez2016chimpanzees,2014,5,7,corry,37,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,corry_fraukje,female,1,1,8,long,low,yes,11.16,9.61,20.5,14.2,3,corry,0.52,0.8,1.32,0.074626866,0.074626866,2.48,both,1.55,1.55,0.925373134,1.0
sanchez2016chimpanzees,2014,5,14,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,1,short,low,yes,7.85,9.06,9.95,12.8,4,ulla,1.08,0.08,1.16,-0.071555293,0.071555293,2.92,both,-1.21,1.21,0.928444707,1.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,2,long,low,yes,16.06,3.23,21.95,3.55,3,corry,0.96,0.88,1.84,0.665111457,0.665111457,2.04,both,12.83,12.83,0.334888543,1.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,3,long,low,yes,10.81,4.77,20.75,7.8,4,corry,1.04,1,2.04,0.387676508,0.387676508,2.96,both,6.04,6.04,0.612323492,1.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,4,short,low,yes,13.51,3.25,23.2,2.9,3,corry,0.08,1.12,1.2,0.612171838,0.612171838,2.92,both,10.26,10.26,0.387828162,1.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,5,short,low,yes,16.63,5.52,25.7,8.95,4,corry,0.68,1.52,2.2,0.501580135,0.501580135,3.32,both,11.11,11.11,0.498419865,1.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,6,long,low,yes,15.55,0.0,26.3,0.0,4,corry,0.76,np,np,1.0,1.0,3.24,one,15.55,15.55,0.0,0.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,7,short,low,yes,15.54,0.0,28.6,0.0,3,corry,1.12,np,np,1.0,1.0,1.88,one,15.54,15.54,0.0,0.0
sanchez2016chimpanzees,2014,5,28,corry,37,f,focal_participant_right,ulla,36,f,focal_participant_left,chimpanzee,corry_ulla,female,2,1,8,long,low,yes,14.13,0.0,28.3,0.0,2,corry,0.52,np,np,1.0,1.0,1.48,one,14.13,14.13,0.0,0.0
sanchez2016chimpanzees,2014,6,16,kara,8,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,kara_fraukje,female,2,1,2,short,low,yes,13.97,4.23,26.8,5.5,2,kara,0.64,0.6,1.24,0.535164835,0.535164835,1.36,both,9.74,9.74,0.464835165,1.0
sanchez2016chimpanzees,2014,6,16,kara,8,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,kara_fraukje,female,2,1,3,short,low,yes,12.35,4.75,19.75,4.75,2,kara,0.52,1.08,1.6,0.444444444,0.444444444,1.48,both,7.6,7.6,0.555555556,1.0
sanchez2016chimpanzees,2014,6,16,kara,8,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,kara_fraukje,female,2,1,4,long,low,yes,9.72,9.8,17.25,13.0,2,both,0.76,0,0.76,-0.004098361,0.004098361,1.24,both,-0.08,0.08,0.995901639,1.0
sanchez2016chimpanzees,2014,6,16,kara,8,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,kara_fraukje,female,2,1,5,long,low,yes,13.46,2.0,27.7,2.0,3,kara,0.48,0.8,1.28,0.741267788,0.741267788,2.52,both,11.46,11.46,0.258732212,1.0
sanchez2016chimpanzees,2014,6,16,kara,8,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,kara_fraukje,female,2,1,6,long,low,yes,14.12,6.2,21.9,6.2,2,kara,0.72,0.4,1.12,0.38976378,0.38976378,1.28,both,7.92,7.92,0.61023622,1.0
sanchez2016chimpanzees,2014,6,16,kara,8,f,focal_participant_right,fraukje,38,f,focal_participant_left,chimpanzee,kara_fraukje,female,2,1,7,short,low,yes,10.22,2.15,25.9,2.3,3,kara,0.0,0.72,0.72,0.652384802,0.652384802,3.0,both,8.07,8.07,0.347615198,1.0
