study_id,experiment,year,participant,sex,species,pellet_vs_apple,pellet_vs_carrot,apple_vs_carrot,2pellets_vs_1pellet,2apples_vs_1apple,2carrots_vs_1carrot,pellet_and_apple_vs_pellet,pellet_and_carrot_vs_pellet,apple_and_carrot_vs_apple,comment
sanchez2016differences,1,2012,dokana,f,orangutan,1.0,1.0,1.0,0.875,0.813,0.75,0.563,0.563,0.5,
sanchez2016differences,1,2012,padana,f,orangutan,1.0,1.0,1.0,1.0,0.938,0.875,0.688,0.625,0.5,
sanchez2016differences,1,2012,bimbo,m,orangutan,1.0,1.0,0.81,1.0,0.813,0.813,0.625,0.5,0.688,
sanchez2016differences,1,2012,pini,f,orangutan,1.0,1.0,1.0,0.875,0.875,0.75,0.625,0.5,0.625,
sanchez2016differences,1,2012,raja,f,orangutan,0.94,1.0,0.88,0.875,0.688,0.625,0.688,0.563,0.625,
sanchez2016differences,1,2012,alex,m,chimpanzee,0.75,1.0,1.0,1.0,0.938,0.75,0.75,0.625,0.625,
sanchez2016differences,1,2012,fifi,f,chimpanzee,0.88,1.0,1.0,1.0,0.875,0.75,0.813,0.75,0.25,
sanchez2016differences,1,2012,jahaga,f,chimpanzee,1.0,1.0,1.0,0.875,0.938,0.75,0.813,0.313,0.438,
sanchez2016differences,1,2012,gertrudia,f,chimpanzee,1.0,1.0,1.0,1.0,0.938,1.0,0.75,0.563,0.5,
sanchez2016differences,1,2012,annett,f,chimpanzee,1.0,1.0,0.88,0.938,0.563,0.688,0.563,0.313,0.438,
sanchez2016differences,1,2012,alexandra,f,chimpanzee,1.0,1.0,1.0,0.875,0.875,0.688,0.438,0.563,0.25,
sanchez2016differences,1,2013,lome,m,chimpanzee,1.0,1.0,1.0,1.0,1.0,0.813,0.875,0.563,0.5,
sanchez2016differences,1,2013,fraukje,f,chimpanzee,0.94,1.0,1.0,0.938,0.813,0.5,0.813,0.438,0.313,
sanchez2016differences,1,2013,lobo,m,chimpanzee,0.94,1.0,1.0,0.875,0.813,0.875,0.75,0.625,0.438,
sanchez2016differences,1,2013,sandra,f,chimpanzee,1.0,1.0,1.0,1.0,0.875,0.688,0.75,0.625,0.375,
sanchez2016differences,1,2013,viringika,f,gorilla,1.0,1.0,1.0,0.938,0.688,0.813,0.625,0.563,0.438,
sanchez2016differences,1,2013,kumili,f,gorilla,0.75,1.0,1.0,0.813,0.875,0.875,0.563,0.688,0.688,received_banana_instead_of_pellet
sanchez2016differences,1,2013,kibara,f,gorilla,0.44,1.0,0.94,0.938,0.938,0.875,0.813,0.313,0.563,
sanchez2016differences,1,2013,abeeku,m,gorilla,0.75,1.0,1.0,0.938,0.688,0.938,0.813,0.25,0.563,
sanchez2016differences,1,2013,lexi,f,bonobo,0.81,1.0,1.0,0.75,0.813,0.75,0.5,0.563,0.438,received_banana_instead_of_pellet
sanchez2016differences,1,2013,yasa,f,bonobo,0.94,1.0,1.0,0.938,1.0,0.75,0.875,0.313,0.625,
sanchez2016differences,1,2013,luiza,f,bonobo,0.88,1.0,0.94,0.938,0.813,0.5,0.688,0.75,0.75,
sanchez2016differences,1,2013,jasongo,m,bonobo,0.44,1.0,1.0,0.813,0.625,0.563,0.875,0.563,0.5,
sanchez2016differences,1,2013,fimi,f,bonobo,0.5,1.0,0.94,0.625,0.75,0.5,0.938,0.438,0.563,received_banana_instead_of_pellet
sanchez2016differences,1,2013,kuno,m,bonobo,1.0,1.0,1.0,0.875,0.875,0.625,0.438,0.563,0.563,received_apples_as_prefered_followed_by_banana_and_carrot
sanchez2016differences,1,2013,gemena,f,bonobo,1.0,1.0,1.0,0.625,0.75,0.5,0.625,0.625,0.375,
